LEVELS_ENV	name	undefined	fileName
"3,63,0,-1,0,-1"	Exospector Interior	38	ExospectorInt
"3,63,0,-1,0,-1"	Tower of London	30	TowerOfLondon
"3,63,0,-1,0,-1"	Woods Yellow	85	Ongoing_A012Y
"3,63,0,-1,0,-1"	Woods Green	85	Ongoing_A012Gr
"3,63,0,-1,0,-1"	Character Create	1	_CharacterCreation
"3,63,0,-1,0,-1"	Town Portal	32	_TownPortal
"3,63,0,-1,0,-1"	SoundField	9	Stormy
"3,63,0,-1,0,-1"	SoundField2	10	Stormy
"3,63,0,-1,0,-1"	Tube B	5	Stormy
"3,63,0,-1,0,-1"	Stonehenge	86	Stonehenge
"3,63,0,-1,0,-1"	Ongoing Act1 Close	85	Ongoing_A01C
"3,63,0,-1,0,-1"	Ongoing Act1 Far	85	Ongoing_A01F
"3,63,0,-1,0,-1"	Crypts_Ice	34	Crypts_Ice
"3,63,0,-1,0,-1"	BuildInterior	88	BuildInterior
"3,63,0,-1,0,-1"	Abyss	89	Abyss
"3,63,0,-1,0,-1"	Desert	91	Desert
"3,63,0,-1,0,-1"	PSquare	85	PSquare
"3,63,0,-1,0,-1"	Treasury	1	Treasury
"3,63,0,-1,0,-1"	BuildIntX inside	85	BuildIntX_inside
"3,63,0,-1,0,-1"	DesertCave	94	DesertCave
