LEVELS_RULES	drlgFileName	undefined1	drlgRuleSet	label	minSubs	minSubsNightMare	maxSubs	maxSubsNightMare	attempts	replaceAll	replaceAndCheck	onceForReplacement	mustPlace	weighted	exitRule	deadEndRule	looping	loopLabel	askQuests	randomQuestPercent	questTaskComplete	theme_RunRule	theme_SkipRule
"3,60,0,-1,0,-1"	Rule_pm02	1	DRLG_PedMall		5	6	6	8	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pm03	1	DRLG_PedMall		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pm04	1	DRLG_PedMall		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_PedMall		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bc01	1	DRLG_BoulevardCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bc01a	1	DRLG_BoulevardCity		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bc02	1	DRLG_BoulevardCity		2	2	3	3	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bc03	1	DRLG_BoulevardCity		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bc03deadend	1	DRLG_BoulevardCity		1	1	1	1	0	0	0	0	1	0	0	1	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_BoulevardCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_ac01	1	DRLG_AlleyCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_ac02	1	DRLG_AlleyCity		3	4	5	6	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_ac03	1	DRLG_AlleyCity		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_AlleyCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc01	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc02	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc03	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc04	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc03	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc04	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pc05	1	DRLG_ParkCity		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_ParkCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pm04	1	DRLG_ParkCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01	1	DRLG_MiniCityRare		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01a	1	DRLG_MiniCityRare		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG_MiniCityRare		4	5	5	7	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc03	1	DRLG_MiniCityRare		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_escort	1	DRLG_MiniCityRare		1	1	1	1	0	0	0	0	0	0	0	0	0		1	100	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_MiniCityRare		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_pmT01	1	DRLG_PedMallTutorial		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_pmT02	1	DRLG_PedMallTutorial		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_pmT03	1	DRLG_PedMallTutorial		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_pmT04	1	DRLG_PedMallTutorial		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_pmT05	1	DRLG_PedMallTutorial		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_TutorialRepALL	1	DRLG_PedMallTutorial		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01	1	DRLG_DeathsCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01a	1	DRLG_DeathsCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG_DeathsCity		3	3	4	4	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc03_altar	1	DRLG_DeathsCity		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_DeathsCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01	1	DRLG BishopsCourt		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01a	1	DRLG BishopsCourt		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG BishopsCourt		2	2	3	3	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc03_Message	1	DRLG BishopsCourt		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc03	1	DRLG BishopsCourt		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG BishopsCourt		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01_PortalFix	1	DRLG Aldgate		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG Aldgate		3	3	4	4	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG Aldgate		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_NvidiaDemo	1	DRLG_NVIDIADemo		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_cp01	16	DRLG_ChocolatePark		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_cp02	16	DRLG_ChocolatePark		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_cp04	16	DRLG_ChocolatePark		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pa01	16	DRLG_Park		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pa02	16	DRLG_Park		4	5	5	7	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pa03	16	DRLG_Park		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pa04	16	DRLG_Park		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Hell01	54	DRLG_Hell		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Hell02	54	DRLG_Hell		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,48,100,-1,0,-1"		-1			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,48,100,-1,0,-1"		-1			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,48,100,-1,0,-1"		-1			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_PvPArena		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_ac01	1	DRLG Angel Passage		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_ac02	1	DRLG Angel Passage		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_ac03_clean	1	DRLG Angel Passage		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG Angel Passage		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pb01	1	DRLG_PiccadillyBookstores		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pb02	1	DRLG_PiccadillyBookstores		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_pb03	1	DRLG_PiccadillyBookstores		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_PiccadillyBookstores		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_STPL01	1	DRLG_StPauls		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_StPauls		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,48,100,-1,0,-1"		-1			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,48,100,-1,0,-1"		-1			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bg01	1	DRLG_BigGundown		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_BigGundown		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_RTS01	1	DRLG_RTSCity		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_RTS02	1	DRLG_RTSCity		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_RTS03	1	DRLG_RTSCity		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_RTS04	1	DRLG_RTSCity		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL_RTS	1	DRLG_RTSCity		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Th01	1	DRLG TestHope		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Th02	1	DRLG TestHope		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Th03	1	DRLG TestHope		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Th04	1	DRLG TestHope		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_Th05	1	DRLG TestHope		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG TestHope		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_tc01	1	DRLG_TottenhamCourt		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_tc02	1	DRLG_TottenhamCourt		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_tc03	1	DRLG_TottenhamCourt		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_tc04	1	DRLG_TottenhamCourt		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,62,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_TottenhamCourt		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bm01	1	DRLG_BritishMuseum		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bm02	1	DRLG_BritishMuseum		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bm03	1	DRLG_BritishMuseum		1	1	2	2	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bm04	1	DRLG_BritishMuseum		2	2	4	4	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bm05	1	DRLG_BritishMuseum		1	1	2	2	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_bm06	1	DRLG_BritishMuseum		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_01C	1	DRLG_Piccadilly Circus		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_02	1	DRLG_Piccadilly Circus		4	4	5	5	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_03	1	DRLG_Piccadilly Circus		3	3	4	4	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_04	1	DRLG_Piccadilly Circus		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_05	1	DRLG_Piccadilly Circus		3	3	4	4	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_07	1	DRLG_Piccadilly Circus		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_10	1	DRLG_Piccadilly Circus		2	2	4	4	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_11	1	DRLG_Piccadilly Circus		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG_Piccadilly Circus		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_14	1	DRLG_Piccadilly Circus		6	6	8	8	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01	1	DRLG BargeHouse		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_wh1	1	DRLG BargeHouse	BargeLoop	1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_wh2	1	DRLG BargeHouse		1	1	1	1	0	0	0	0	0	0	0	0	3	BargeLoop	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_wh3	1	DRLG BargeHouse		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL_wh	1	DRLG BargeHouse		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01	1	DRLG PuddleDock		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01a	1	DRLG PuddleDock		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG PuddleDock		4	4	5	5	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_exospector	1	DRLG PuddleDock		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG PuddleDock		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01	1	DRLG Crown Office Row		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc01a	1	DRLG Crown Office Row		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG Crown Office Row		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc03_triage	1	DRLG Crown Office Row		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc02	1	DRLG Crown Office Row		2	2	3	3	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_mc03	1	DRLG Crown Office Row		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_CityRepALL	1	DRLG Crown Office Row		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Template	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_01	2	DRLG_MiniTubesHole	FoetidLoop1	1	2	2	3	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_02	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0	FoetidLoop1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_03	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_05	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_04	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_06	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_07	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_09	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_08	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_11	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_12	2	DRLG_MiniTubesHole		1	1	1	1	0	0	0	0	1	0	0	1	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	TemplateB	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B01	2	DRLG_MiniTubesDepot	MiniTubeDepotLoopB1	2	3	3	4	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B02	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	0	0	0	0	0	MiniTubeDepotLoopB1	0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B08	2	DRLG_MiniTubesDepot		0	0	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B01	2	DRLG_MiniTubesDepot		1	2	2	3	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B08	2	DRLG_MiniTubesDepot		0	0	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B02	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B09	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B09_DE	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	1	0	0	1	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B10	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B11	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B12	2	DRLG_MiniTubesDepot		0	0	0	0	0	1	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B05	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B04	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B06	2	DRLG_MiniTubesDepot		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B07	2	DRLG_MiniTubesDepot		5	5	10	10	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	TemplateB	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B01	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B02	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B08	2	DRLG_MiniTubesShort		0	0	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B01	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	0	0	0	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B09	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	1	0	1	0	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B09_DE	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	1	0	0	1	0		0	0	-1	-1	-1
"3,60,0,-1,0,-1"	Rule_B11	2	DRLG_MiniTubesShort		1	1	1	1	0	0	0	0	1	0	0	0	0		0	0	-1	-1	-1
