LEVELS_FILE_PATH	code	path	localisedFolders0	localisedFolders1	localisedFolders2	localisedFolders3	localisedFolders4	localisedFolders5	localisedFolders6	localisedFolders7	language	pakFlie
"3,63,0,-1,0,-1"	1330661709	Background\Props\Military\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330660690	Background\Props\Residential\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330662722	Background\Props\BritishMuseum\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330660675	Background\Props\ConstructionEquipment\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1397116489	Background\Props\Infestation\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330659907	Background\Props\Cabalist\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1413563716	Background\Props\Death\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330660676	Background\Props\Demon\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330663248	Background\Props\Poison\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1296585800	Background\Props\Hell_Theme\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1179403592	Background\Hell\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1212368212	Background\Props\TemplarTech\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330664532	Background\Props\Templar\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330664269	Background\Props\Miscellaneous \	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330663507	Background\Props\Special\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330663234	Background\Props\Bookstore\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330664259	Background\Props\ConvenienceStore\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330659920	Background\Props\Pub\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1330662985	Background\Props\Interior\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1396856148	Background\TubeStations\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1481921364	Background\TubeStations\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1263817556	Background\Tubestations\textures\English\	-1	-1	-1	-1	-1	-1	-1	-1	2	6
"3,63,0,-1,0,-1"	1163154260	Background\Tubestations\textures\English\	-1	-1	-1	-1	-1	-1	-1	-1	0	6
"3,63,0,-1,0,-1"	1112822612	Background\TubeStations\textures\Blank\	-1	-1	-1	-1	-1	-1	-1	-1	-1	6
"3,63,0,-1,0,-1"	1414288212		66	67	65	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1128617043	Background\TubeStations\textures\tech\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1397510996	Background\TubeStations\LeicesterSquare\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1112036180	Background\TubeStations\Holborn\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1195594580	Background\TubeStations\CoventGarden\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1128485716	Background\TubeStations\CharingCross\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1129272148	Background\TubeStations\OxfordCircus\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1297371988	Background\TubeStations\Temple\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1313690452	Background\TubeStations\Monument\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1347638100	Background\TubeStations\StPauls\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1347179348	Background\TubeStations\LiverpoolStreet\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1146307649	Background\_advertisements\	-1	-1	-1	-1	-1	-1	-1	-1	-1	6
"3,63,0,-1,0,-1"	1163084865	Background\_advertisements\	-1	-1	-1	-1	-1	-1	-1	-1	0	0
"3,63,0,-1,0,-1"	1263748161	Background\_advertisements\Korean\	-1	-1	-1	-1	-1	-1	-1	-1	2	6
"3,63,0,-1,0,-1"	827540545		80	81	79	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1380860993		80	81	79	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1146048343	Background\Forest\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1381387845	Background\_environments\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1313821779	Background\Stonehenge\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1397640272	Background\Plains\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414416706	Background\BuildInterior\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1397965377	Background\Abyss\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414742593	Background\Abyss\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414681412	Background\Desert\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1498632788	Background\City\Treasury\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1414746708	Background\City\Treasury\textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1447117636	Background\DesertCave\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
"3,63,0,-1,0,-1"	1263424851	Background\SunkenTower\Textures\	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
