"LEVELSCALING"	"level"	"PlayerAttackMonsterDmg"	"PlayerAttackMonsterExp"	"MonsterAttackPlayerDmg"	"PlayerAttackPlayerDmg"
"3,63,0,-1,0,-1"	27	100	0	1370	100
"3,63,0,-1,0,-1"	28	100	0	1476	100
"3,63,0,-1,0,-1"	29	100	0	1586	100
"3,63,0,-1,0,-1"	30	100	0	1700	100
"3,63,0,-1,0,-1"	31	100	0	1819	100
"3,63,0,-1,0,-1"	32	100	0	1942	100
"3,63,0,-1,0,-1"	33	100	0	2069	100
"3,63,0,-1,0,-1"	34	100	0	2200	100
"3,63,0,-1,0,-1"	35	100	0	2336	100
"3,63,0,-1,0,-1"	36	100	0	2476	100
"3,63,0,-1,0,-1"	37	100	0	2620	100
"3,63,0,-1,0,-1"	38	100	0	2768	100
"3,63,0,-1,0,-1"	39	100	0	2921	100
"3,63,0,-1,0,-1"	40	100	0	3078	100
"3,63,0,-1,0,-1"	41	100	0	3239	100
"3,63,0,-1,0,-1"	42	100	0	3404	100
"3,63,0,-1,0,-1"	43	100	0	3574	100
"3,63,0,-1,0,-1"	44	100	0	3748	100
"3,63,0,-1,0,-1"	45	100	0	3926	100
"3,63,0,-1,0,-1"	46	100	0	4108	100
"3,63,0,-1,0,-1"	47	100	0	4295	100
"3,63,0,-1,0,-1"	48	100	0	4486	100
"3,63,0,-1,0,-1"	49	100	0	4681	100
"3,63,0,-1,0,-1"	50	100	0	4880	100
"3,63,0,-1,0,-1"	51	100	0	5084	100
"3,63,0,-1,0,-1"	52	100	0	5292	100
"3,63,0,-1,0,-1"	53	100	0	5504	100
"3,63,0,-1,0,-1"	54	100	0	5720	100
"3,63,0,-1,0,-1"	55	100	0	5941	100
"3,63,0,-1,0,-1"	56	100	0	6166	100
"3,63,0,-1,0,-1"	57	100	0	6395	100
"3,63,0,-1,0,-1"	58	100	0	6628	100
"3,63,0,-1,0,-1"	59	100	0	6866	100
"3,63,0,-1,0,-1"	60	100	0	7108	100
"3,63,0,-1,0,-1"	61	100	0	7354	100
"3,63,0,-1,0,-1"	62	100	0	7604	100
"3,63,0,-1,0,-1"	63	100	0	7859	100
"3,63,0,-1,0,-1"	64	100	0	8118	100
"3,63,0,-1,0,-1"	65	100	0	8381	100
"3,63,0,-1,0,-1"	66	100	0	8648	100
"3,63,0,-1,0,-1"	67	100	0	8920	100
"3,63,0,-1,0,-1"	68	100	0	9196	100
"3,63,0,-1,0,-1"	69	100	0	9476	100
"3,63,0,-1,0,-1"	70	100	0	9760	100
"3,63,0,-1,0,-1"	71	100	0	10049	100
"3,63,0,-1,0,-1"	72	100	0	10342	100
"3,63,0,-1,0,-1"	73	100	0	10639	100
"3,63,0,-1,0,-1"	74	100	0	10940	100
"3,63,0,-1,0,-1"	75	100	0	11246	100
"3,63,0,-1,0,-1"	76	100	0	11556	100
"3,63,0,-1,0,-1"	77	100	0	11870	100
"3,63,0,-1,0,-1"	78	100	0	12188	100
"3,63,0,-1,0,-1"	79	100	0	12511	100
"3,63,0,-1,0,-1"	80	100	0	12838	100
"3,63,0,-1,0,-1"	81	100	0	13169	100
"3,63,0,-1,0,-1"	82	100	0	13504	100
"3,63,0,-1,0,-1"	83	100	0	13844	100
"3,63,0,-1,0,-1"	84	100	0	14188	100
"3,63,0,-1,0,-1"	85	100	0	14536	100
"3,63,0,-1,0,-1"	86	100	0	14888	100
"3,63,0,-1,0,-1"	87	100	0	15245	100
"3,63,0,-1,0,-1"	88	100	0	15606	100
"3,63,0,-1,0,-1"	89	100	0	15971	100
"3,63,0,-1,0,-1"	90	100	0	16340	100
"3,63,0,-1,0,-1"	91	100	0	16714	100
"3,63,0,-1,0,-1"	92	100	0	17092	100
"3,63,0,-1,0,-1"	93	100	0	17474	100
"3,63,0,-1,0,-1"	94	100	0	17860	100
"3,63,0,-1,0,-1"	95	100	0	18251	100
"3,63,0,-1,0,-1"	96	100	0	18646	100
"3,63,0,-1,0,-1"	97	100	0	19045	100
"3,63,0,-1,0,-1"	98	100	0	19448	100
"3,63,0,-1,0,-1"	99	100	0	19856	100
"3,63,0,-1,0,-1"	100	100	0	20268	100
