"LEVEL"	"name"	"code"	"bitfieldIndex"	"unknown1"	"defaultSubLevel"	"previousLevel"	"nextLevel"	"levelDisplayName"	"floorSuffixName"	"finalSuffixFloorName"	"town"	"alwaysActive"	"startingLocation"	"unknown2"	"levelRestartRedirect"	"portalAndRecallLoc"	"firstPortalandRecallLoc"	"safe"	"subLevelTownPortal"	"tutorial"	"disableTownPortals"	"onEnterClearBadStates"	"playerOwnedCannotDie"	"hardcoreDeadCanVisit"	"canFormAutoParties"	"CameraDollyScale"	"minZ"	"maxZ"	"visibilityOpacity"	"fixedOrientation"	"orientedToMap"	"allowRandomOrientation"	"hellriftChancePercent"	"hellriftSubLevel1"	"madLibs"	"properNames"	"adjectives"	"nouns"	"affixs"	"suffixs"	"subLevel1"	"subLevel2"	"subLevel3"	"subLevel4"	"subLevel5"	"subLevel6"	"subLevel7"	"subLevel8"	"autoWaypoint"	"multiplayerOnly"	"useTeamColors"	"waypoint"	"srvLevelType"	"playerMax"	"monsterLevel"	"monsterLevelNightmare"	"unknown3"	"monsterLevelFromParentLevel"	"monsterLevelFromActivator"	"monsterLevelActivatorDelta"	"selectRandomThemePct"	"partySizeRecommended"	"questSpawnClass"	"interactableSpawnClass"	"stringEnter"	"stringLeave"	"championSpawnChancePercentAtEachSpawnLocation"	"uniqueMonsterChancePercent"	"mapX"	"mapY"	"firstLevel"	"firstLevelCheating"	"playerExpLevel"	"startingGold"	"bonusStartingTreasure"	"sequenceNumber"	"blank"	"worldMapRow"	"worldMapCol"	"worldMapFrame"	"worldMapFrameUnexplored"	"worldMapColor"	"worldMapLabelPos"	"worldMapLabelXOffs"	"worldMapLabelYOffs"	"worldMapConnectIDs1"	"worldMapConnectIDs2"	"worldMapConnectIDs3"	"worldMapConnectIDs4"	"worldMapConnectIDs5"	"worldMapConnectIDs6"	"worldMapConnectIDs7"	"worldMapConnectIDs8"	"adventureChancePercent"	"numAdventures"	"enableRoomReset"	"roomResetDelayInSeconds"	"roomResetWhenMonstersBelowPercent"	"monsterRoomDensityMultiplier"	"contentsAlwaysRevealed"	"scriptPlayerEnterLevel"	"allowOverworldTravel"
"3,60,0,-1,0,-1"	"Leicester Square"	19777	15	0	0	7	16	8447	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,7,0"	"26,33,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.12	10	-1	-1	0	0	-1	-1	14	0	1	10	7	"map_circle"	"map_circle_dotted"	38	5	8	0	16	-1	-1	-1	-1	-1	-1	-1	15	"26,0,0"	1	1200	20	1.05	0	0	0
"3,60,0,-1,0,-1"	"St. Martin's"	20033	16	0	0	15	17	8445	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,7,0"	"26,33,0"	0	0	0	0	50	0	-1	-1	-1	-1	0.12	10	-1	-1	0	0	-1	-1	15	0	1	13	7	"map_circle"	"map_circle_dotted"	38	3	-8	0	17	-1	-1	-1	-1	-1	-1	-1	15	"26,0,0"	1	1200	20	1.1	0	0	0
"3,60,0,-1,0,-1"	"Charing Cross Approach"	20289	17	0	0	16	18	8455	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,8,0"	"26,34,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.12	10	-1	-1	0	0	-1	-1	16	0	1	14	6	"map_circle"	"map_circle_dotted"	38	3	-8	0	18	-1	-1	-1	-1	-1	-1	-1	15	"26,0,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Charing Cross Station"	20545	18	0	1	-1	-1	8456	-1	-1	1	0	1	-1	0	1	0	1	-1	0	0	1	1	1	1	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	137	2	32	"26,8,0"	"26,35,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	17	0	1	15	5	"map_hex"	"map_hex_dotted"	11	5	8	0	19	22	29	31	38	34	-1	-1	0	"26,0,0"	0	-1	-1	1.15	0	0	0
"3,60,0,-1,0,-1"	"Piccadilly Approach"	20801	19	0	0	18	20	8477	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,8,0"	"26,34,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.12	20	-1	-1	0	0	-1	-1	18	0	1	13	5	"map_circle"	"map_circle_dotted"	38	3	-8	0	20	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Piccadilly Circus"	21057	20	0	0	19	21	8459	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	100	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,9,0"	"26,34,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.12	20	-1	-1	0	0	-1	-1	19	0	1	12	5	"map_square"	"map_square_dotted"	6	3	-8	0	-1	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Piccadilly Hell"	21313	21	0	0	20	-1	8463	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,9,0"	"26,35,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.12	20	-1	-1	0	0	-1	-1	20	0	1	-1	-1			-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Green Park Approach"	22081	22	0	0	18	23	8457	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,10,0"	"26,35,0"	0	0	0	0	50	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	21	0	1	13	3	"map_circle"	"map_circle_dotted"	38	5	8	0	23	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Green Park Station"	22337	23	0	1	-1	-1	8458	-1	-1	0	0	0	18	0	1	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	136	0	2147483647	"26,10,0"	"26,35,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	22	0	1	12	2	"map_hex"	"map_hex_dotted"	38	3	-8	0	24	25	26	27	28	-1	-1	-1	0	"26,0,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Death's Sewers"	22593	24	0	0	23	-1	8466	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,11,0"	"26,35,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	23	0	1	11	1	"map_square"	"map_square_dotted"	6	5	8	0	-1	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Death's Tunnels"	22849	25	0	0	23	-1	8467	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,11,0"	"26,36,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	24	0	1	12	1	"map_square"	"map_square_dotted"	6	5	8	0	-1	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.45	0	0	0
"3,60,0,-1,0,-1"	"Death's City"	23105	26	0	0	23	-1	8468	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,12,0"	"26,36,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	25	0	1	13	1	"map_square"	"map_square_dotted"	6	5	8	0	-1	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.3	0	0	0
"3,60,0,-1,0,-1"	"Savile Row"	24897	27	0	0	23	28	8448	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,12,0"	"26,36,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	26	0	1	11	2	"map_circle"	"map_circle_dotted"	38	3	-8	0	28	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Oxford Circus Station"	25153	28	0	1	27	-1	8449	-1	-1	1	0	1	-1	0	1	0	1	-1	0	0	1	1	1	1	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	142	2	8	"26,12,0"	"26,37,0"	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	27	0	1	10	2	"map_hex"	"map_hex_dotted"	11	1	0	8	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	0	-1	-1	1.15	0	0	0
"3,60,0,-1,0,-1"	"Admiralty Arch"	25409	29	0	0	18	30	8452	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,12,0"	"26,36,0"	0	0	0	0	50	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	28	0	1	16	4	"map_circle"	"map_circle_dotted"	38	7	0	-10	30	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.2	0	0	0
"3,60,0,-1,0,-1"	"Chocolate Park"	25665	30	0	0	29	-1	8453	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,12,0"	"26,37,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	29	0	1	16	3	"map_square"	"map_square_dotted"	6	5	8	0	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.15	0	0	0
"3,60,0,-1,0,-1"	"Whitehall"	25921	31	0	0	18	32	8454	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,13,0"	"26,37,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	30	0	1	17	5	"map_circle"	"map_circle_dotted"	38	3	-8	0	32	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.2	0	0	0
"3,60,0,-1,0,-1"	"Downing Street"	26177	32	0	0	31	33	8461	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,13,0"	"26,37,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	31	0	1	18	5	"map_circle"	"map_circle_dotted"	38	5	8	0	33	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.2	0	0	0
"3,60,0,-1,0,-1"	"Millennium Battle"	26433	33	0	0	32	-1	8462	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,13,0"	"26,38,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	32	0	1	19	6	"map_square"	"map_square_dotted"	6	7	0	-10	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1200	20	1.2	0	0	0
"3,60,0,-1,0,-1"	"Craven Street"	26689	34	0	0	18	35	8446	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,14,0"	"26,38,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	33	0	1	16	6	"map_circle"	"map_circle_dotted"	38	3	-8	0	35	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1200	20	1.2	0	0	0
"3,60,0,-1,0,-1"	"Embankment Approach"	26945	35	0	0	34	36	8481	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	15	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,14,0"	"26,38,0"	0	0	0	0	50	0	-1	-1	-1	-1	0.16	20	-1	-1	0	0	-1	-1	34	0	1	17	7	"map_circle"	"map_circle_dotted"	38	7	0	-10	36	-1	-1	-1	-1	-1	-1	-1	25	"26,1,0"	1	1800	20	1.25	0	0	0
"3,60,0,-1,0,-1"	"Embankment Redout"	27201	36	0	0	35	-1	8483	-1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,14,0"	"26,38,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	0	-1	-1	0	0	-1	-1	35	0	1	17	8	"map_square"	"map_square_dotted"	6	3	-8	0	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	0	-1	-1	1.15	1	0	0
"3,60,0,-1,0,-1"	"The Mind of 314"	27457	37	0	0	18	-1	8484	-1	-1	0	0	0	-1	0	0	0	0	-1	0	1	0	0	0	0	1	-0.5	0.5	1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	12	11	-1	-1	-1	-1	-1	-1	0	0	0	-1	0	2147483647	"26,15,0"	"26,39,0"	0	0	0	0	0	0	-1	-1	-1	-1	0.16	100	-1	-1	0	0	-1	-1	36	0	1	15	2	"map_square"	"map_square_dotted"	134	5	8	0	-1	-1	-1	-1	-1	-1	-1	-1	0	"26,0,0"	1	1800	20	1.15	0	0	0
