SPAWNCLASS	spawnClass	code	pickType	rememberPick	pick1	spawn1	count1	weight1	pick2	spawn2	count2	weight2	pick3	spawn3	count3	weight3	pick4	spawn4	count4	weight4	pick5	spawn5	count5	weight5	pick6	spawn6	count6	weight6	pick7	spawn7	count7	weight7	pick8	spawn8	count8	weight8
"3,63,0,-1,0,-1"	sc_GENERIC_imp_darklingsniper	18754	1	1	1	241	"26,1,0"	1	1	243	"26,1,0"	1	1	246	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_imp_darklingpack	19010	0	0	3	12	"710,26,1,26,4,3,33,0"	1	1	227	"710,26,1,26,4,3,33,0"	1	1	417	"710,26,1,26,2,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_imp_gremlinspwan	19266	1	0	3	15	"710,26,1,26,4,3,33,0"	1	1	229	"710,26,1,26,4,3,33,0"	1	3	16	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_imp_gremlinsniper	19522	1	1	1	249	"26,1,0"	1	1	251	"26,1,0"	1	1	253	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_imp_gremlinpack	19778	0	0	3	15	"710,26,2,26,5,3,33,0"	1	1	229	"710,26,2,26,5,3,33,0"	1	1	419	"710,26,1,26,2,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_imp_riftwarriorspwan	30538	1	0	1	256	"710,26,1,26,5,3,33,0"	1	1	233	"710,26,1,26,5,3,33,0"	1	3	18	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_imp_riftwarriorpack	31050	0	0	1	256	"710,26,2,26,6,3,33,0"	1	1	233	"710,26,2,26,6,3,33,0"	1	1	434	"710,26,1,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_fellhordespawn	26434	1	0	3	20	"26,1,0"	5	1	108	"710,26,1,26,2,3,33,0"	20	1	128	"26,1,0"	5	1	145	"710,26,2,26,4,3,33,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_fellhorde_pack	26690	1	0	3	21	"26,1,0"	2	3	22	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_fellhorde_lasherpack	26946	0	0	1	108	"710,26,1,26,3,3,33,0"	1	1	128	"710,26,0,26,2,3,33,0"	1	1	148	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_fellhorde_rodentpack	27202	0	0	1	108	"710,26,1,26,2,3,33,0"	1	1	128	"26,1,0"	1	1	145	"710,26,2,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_cursedtribespawn	16965	1	0	3	24	"26,1,0"	5	1	109	"710,26,1,26,2,3,33,0"	20	1	129	"26,1,0"	5	1	145	"710,26,2,26,6,3,33,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_cursedtribe_pack	17221	1	0	3	25	"26,1,0"	2	3	26	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_cursedtribe_lasherpack	17477	0	0	1	109	"710,26,1,26,3,3,33,0"	1	1	129	"710,26,0,26,2,3,33,0"	1	1	149	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_cursedtribe_rodentpack	17733	0	0	1	109	"710,26,1,26,2,3,33,0"	1	1	129	"26,1,0"	1	1	145	"710,26,2,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_lostdevilspawn	29765	1	0	3	28	"26,1,0"	5	1	110	"710,26,1,26,3,3,33,0"	20	1	130	"26,1,0"	5	1	145	"710,26,3,26,7,3,33,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_lostdevil_pack	30021	1	0	3	29	"26,1,0"	2	3	30	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_lostdevil_lasherpack	30277	0	0	1	110	"710,26,1,26,3,3,33,0"	1	1	130	"710,26,1,26,2,3,33,0"	1	1	150	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_lostdevil_rodentpack	30533	0	0	1	110	"710,26,1,26,2,3,33,0"	1	1	130	"26,1,0"	1	1	145	"710,26,2,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_rotfiendspawn	24906	1	0	3	32	"26,1,0"	5	1	111	"710,26,1,26,2,3,33,0"	20	1	131	"26,1,0"	5	1	145	"710,26,3,26,7,3,33,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_rotfiend_pack	18506	1	0	3	33	"26,1,0"	2	3	34	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_rotfiend_lasherpack	18762	0	0	1	111	"710,26,1,26,3,3,33,0"	1	1	131	"710,26,0,26,2,3,33,0"	1	1	151	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_rotfiend_rodentpack	19018	0	0	1	111	"710,26,1,26,2,3,33,0"	1	1	131	"26,1,0"	1	1	145	"710,26,2,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_zombie	17988	1	0	1	519	"26,1,0"	5	1	564	"26,1,0"	2	1	580	"26,1,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_zombie_NO_POISON	18244	1	0	1	525	"26,1,0"	5	1	567	"26,1,0"	2	1	583	"26,1,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn	27460	1	0	3	38	"26,1,0"	15	3	39	"26,1,0"	5	3	40	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn_solo	27716	1	0	1	334	"26,1,0"	27	1	338	"26,1,0"	9	1	341	"26,1,0"	3	1	344	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn_pod	27972	2	0	1	334	"710,26,0,26,2,3,33,0"	27	1	338	"710,26,0,26,2,3,33,0"	9	1	341	"710,26,0,26,2,3,33,0"	3	1	344	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn_murder	28228	1	0	3	41	"26,1,0"	15	3	42	"26,1,0"	5	3	43	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn_reaperpack	28484	0	0	1	338	"710,26,2,26,3,3,33,0"	1	1	334	"710,26,3,26,5,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn_bilelordpack	28740	0	0	1	341	"26,1,0"	1	1	338	"710,26,3,26,5,3,33,0"	1	1	334	"710,26,0,26,5,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_GENERIC_Orbilespawn_bilebrainpack	28996	0	0	1	344	"26,1,0"	1	1	341	"710,26,1,26,2,3,33,0"	1	1	338	"710,26,1,26,5,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10	27969	1	0	3	45	"26,1,0"	1	3	46	"26,1,0"	3	3	47	"26,1,0"	7	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_big	28225	1	1	3	48	"26,1,0"	6	3	49	"26,1,0"	4	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_medium	28481	1	1	3	50	"26,1,0"	10	3	51	"26,1,0"	7	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_small	28737	1	1	3	52	"26,1,0"	13	3	53	"26,1,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_big_A	28993	1	1	1	58	"26,1,0"	1	1	162	"710,26,1,26,2,3,33,0"	1	3	19	"26,1,0"	1	1	179	"26,1,0"	1	1	191	"710,26,1,26,2,3,33,0"	1	1	203	"26,1,0"	1	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_big_B	29249	1	1	1	316	"26,1,0"	1	3	37	"710,26,1,26,5,3,33,0"	1	1	421	"26,1,0"	1	1	27	"710,26,1,26,2,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_medium_A	29761	1	1	1	71	"710,26,1,26,3,3,33,0"	1	3	8	"26,1,0"	2	3	11	"26,1,0"	2	3	8	"26,1,0"	1	3	11	"26,1,0"	1	1	274	"710,26,1,26,3,3,33,0"	1	1	287	"710,26,1,26,2,3,33,0"	1	1	381	"710,26,1,26,3,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_medium_B	19524	1	1	1	470	"710,26,2,26,3,3,33,0"	1	1	478	"710,26,1,26,2,3,33,0"	1	1	540	"710,26,1,26,2,3,33,0"	1	1	596	"710,26,1,26,2,3,33,0"	1	1	277	"710,26,1,26,3,3,33,0"	1	1	291	"710,26,1,26,2,3,33,0"	1	1	451	"710,26,1,26,3,3,33,0"	1	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_small_A	20036	1	1	1	0	"710,26,1,26,4,3,33,0"	1	1	2	"710,26,1,26,3,3,33,0"	1	3	19	"26,1,0"	2	3	35	"710,26,1,26,6,3,33,0"	4	1	306	"710,26,1,26,3,3,33,0"	1	1	359	"710,26,1,26,3,3,33,0"	2	1	366	"710,26,1,26,3,3,33,0"	1	1	361	"710,26,1,26,2,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_0to10_small_B	20292	1	1	1	441	"710,26,1,26,2,3,33,0"	2	1	465	"710,26,1,26,3,3,33,0"	1	1	463	"710,26,1,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10	27974	1	0	3	55	"26,1,0"	1	3	56	"26,1,0"	3	3	57	"26,1,0"	7	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_big	28230	1	1	3	58	"26,1,0"	6	3	59	"26,1,0"	3	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_medium	28486	1	1	3	60	"26,1,0"	9	3	61	"26,1,0"	7	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_small	28742	1	1	3	62	"26,1,0"	10	3	63	"26,1,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_big_A	28998	1	1	1	58	"26,1,0"	1	1	162	"710,26,1,26,2,3,33,0"	1	3	19	"26,1,0"	1	1	179	"26,1,0"	1	1	191	"710,26,1,26,2,3,33,0"	1	1	203	"26,1,0"	1	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_big_B	29254	1	1	1	310	"26,1,0"	1	3	37	"710,26,1,26,5,3,33,0"	1	1	421	"26,1,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_medium_A	29510	1	1	1	71	"710,26,1,26,3,3,33,0"	1	3	8	"26,1,0"	2	3	11	"26,1,0"	2	3	8	"26,1,0"	1	3	11	"26,1,0"	1	1	274	"710,26,1,26,3,3,33,0"	1	1	287	"710,26,1,26,2,3,33,0"	1	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_medium_B	29766	1	1	1	470	"710,26,2,26,3,3,33,0"	1	1	478	"710,26,1,26,2,3,33,0"	1	1	540	"710,26,1,26,2,3,33,0"	1	1	596	"710,26,1,26,2,3,33,0"	1	1	277	"710,26,1,26,3,3,33,0"	1	1	291	"710,26,1,26,2,3,33,0"	1	1	451	"710,26,1,26,3,3,33,0"	1	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_small_A	30022	1	1	1	0	"710,26,1,26,4,3,33,0"	1	1	2	"710,26,1,26,3,3,33,0"	1	3	19	"26,1,0"	2	3	35	"710,26,1,26,6,3,33,0"	4	1	306	"710,26,1,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_0to10_small_B	30278	1	1	1	465	"710,26,1,26,3,3,33,0"	1	1	463	"710,26,1,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_11to20	30534	1	0	3	65	"26,1,0"	1	3	66	"26,1,0"	2	3	67	"26,1,0"	5	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_big	30790	1	1	3	68	"26,1,0"	8	3	69	"26,1,0"	8	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_medium	31046	1	1	3	70	"26,1,0"	11	3	71	"26,1,0"	8	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_small	31302	1	1	3	72	"26,1,0"	13	3	73	"26,1,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_big_A	16711	1	1	1	58	"26,1,0"	1	1	61	"26,1,0"	1	1	162	"710,26,1,26,2,3,33,0"	1	1	164	"26,1,0"	1	3	23	"26,1,0"	1	1	179	"26,1,0"	1	1	401	"26,1,0"	1	1	203	"710,26,1,26,2,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_big_B	16967	1	1	1	316	"26,1,0"	1	3	37	"710,26,1,26,5,3,33,0"	1	1	424	"26,1,0"	1	1	506	"26,1,0"	1	1	613	"26,1,0"	1	1	39	"710,26,1,26,2,3,33,0"	1	3	27	"26,1,0"	1	1	411	"26,1,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_medium_A	17223	1	1	1	79	"710,26,1,26,3,3,33,0"	1	3	11	"26,1,0"	3	3	11	"26,1,0"	2	1	280	"710,26,1,26,3,3,33,0"	1	1	293	"710,26,1,26,2,3,33,0"	1	1	386	"710,26,1,26,3,3,33,0"	1	1	552	"710,26,1,26,2,3,33,0"	1	1	484	"710,26,1,26,3,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_medium_B	17479	1	1	1	383	"710,26,1,26,2,3,33,0"	1	1	472	"710,26,2,26,3,3,33,0"	1	1	481	"710,26,1,26,2,3,33,0"	1	1	546	"710,26,1,26,2,3,33,0"	1	1	601	"710,26,1,26,2,3,33,0"	1	1	277	"710,26,1,26,3,3,33,0"	1	1	291	"710,26,1,26,2,3,33,0"	1	1	454	"710,26,1,26,3,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_small_A	17735	1	1	1	5	"710,26,1,26,4,3,33,0"	1	1	2	"710,26,1,26,3,3,33,0"	1	1	109	"26,1,0"	2	3	35	"710,26,1,26,6,3,33,0"	4	1	306	"710,26,1,26,3,3,33,0"	1	1	364	"26,1,0"	1	1	361	"710,26,1,26,2,3,33,0"	2	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_11to20_small_B	17991	1	1	1	443	"710,26,1,26,2,3,33,0"	1	1	468	"710,26,1,26,3,3,33,0"	1	1	474	"710,26,1,26,2,3,33,0"	1	1	445	"710,26,1,26,2,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20	18247	1	0	3	75	"26,1,0"	1	3	76	"26,1,0"	2	3	77	"26,1,0"	5	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_big	18503	1	1	3	78	"26,1,0"	8	3	79	"26,1,0"	6	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_medium	18759	1	1	3	80	"26,1,0"	11	3	81	"26,1,0"	8	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_small	19015	1	1	3	82	"26,1,0"	10	3	83	"26,1,0"	2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_big_A	19271	1	1	1	58	"26,1,0"	1	1	61	"26,1,0"	1	1	162	"710,26,1,26,2,3,33,0"	1	1	164	"26,1,0"	1	3	23	"26,1,0"	1	1	179	"26,1,0"	1	1	401	"26,1,0"	1	1	203	"710,26,1,26,2,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_big_B	19527	1	1	1	310	"26,1,0"	1	3	37	"710,26,1,26,5,3,33,0"	1	1	424	"26,1,0"	1	1	506	"26,1,0"	1	1	613	"26,1,0"	1	3	27	"26,1,0"	1	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_medium_A	19783	1	1	1	79	"710,26,1,26,3,3,33,0"	1	3	11	"26,1,0"	3	3	11	"26,1,0"	2	1	280	"710,26,1,26,3,3,33,0"	1	1	293	"710,26,1,26,2,3,33,0"	1	1	552	"710,26,1,26,2,3,33,0"	1	1	484	"710,26,1,26,3,3,33,0"	1	1	83	"710,26,1,26,3,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_medium_B	20039	1	1	1	472	"710,26,2,26,3,3,33,0"	1	1	481	"710,26,1,26,2,3,33,0"	1	1	546	"710,26,1,26,2,3,33,0"	1	1	601	"710,26,1,26,2,3,33,0"	1	1	277	"710,26,1,26,3,3,33,0"	1	1	291	"710,26,1,26,2,3,33,0"	1	1	454	"710,26,1,26,3,3,33,0"	1	1	634	"26,1,0"	1
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_small_A	20295	1	1	1	5	"710,26,1,26,4,3,33,0"	1	1	2	"710,26,1,26,3,3,33,0"	1	1	109	"26,1,0"	2	3	35	"710,26,1,26,6,3,33,0"	4	1	306	"710,26,1,26,3,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZYLOW_11to20_small_B	20551	1	1	1	468	"710,26,1,26,3,3,33,0"	1	1	474	"710,26,1,26,2,3,33,0"	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_21to30	26697	1	0	3	85	"26,1,0"	1	3	86	"26,1,0"	2	3	87	"26,1,0"	4	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_big	26953	1	1	3	88	"26,1,0"	8	3	89	"26,1,0"	8	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_medium	27209	1	1	3	90	"26,1,0"	9	3	91	"26,1,0"	8	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_small	27465	1	1	3	92	"26,1,0"	10	3	93	"26,1,0"	3	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_big_A	27721	1	1	1	64	"26,1,0"	1	1	67	"26,1,0"	1	1	167	"710,26,1,26,2,3,33,0"	1	1	170	"26,1,0"	1	3	27	"26,1,0"	1	1	183	"26,1,0"	1	1	395	"26,1,0"	1	1	209	"710,26,1,26,2,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_big_B	27977	1	1	1	213	"26,1,0"	1	1	320	"26,1,0"	1	3	37	"710,26,1,26,5,3,33,0"	1	1	427	"26,1,0"	1	1	512	"26,1,0"	1	1	623	"26,1,0"	1	1	49	"710,26,1,26,2,3,33,0"	1	1	405	"26,1,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_medium_A	28233	1	1	1	83	"710,26,1,26,3,3,33,0"	1	3	14	"26,1,0"	2	1	282	"710,26,1,26,3,3,33,0"	1	1	296	"710,26,1,26,2,3,33,0"	1	1	390	"710,26,1,26,3,3,33,0"	1	1	486	"710,26,1,26,3,3,33,0"	1	1	488	"710,26,1,26,3,3,33,0"	1	1	646	"710,26,1,26,2,3,33,0"	1
"3,63,0,-1,0,-1"	sc_CRAZY_21to30_medium_B	28489	1	1	1	386	"710,26,1,26,2,3,33,0"	1	1	474	"710,26,2,26,3,3,33,0"	1	1	486	"710,26,1,26,2,3,33,0"	1	1	552	"710,26,1,26,2,3,33,0"	1	1	605	"710,26,1,26,2,3,33,0"	1	1	285	"710,26,1,26,3,3,33,0"	1	1	299	"710,26,1,26,2,3,33,0"	1	1	457	"710,26,1,26,3,3,33,0"	1
