"ITEMQUALITY"	"code"	"displayName"	"displayNameWithItemFormat"	"showBaseDesc"	"randomlyNamed"	"baseDescFormatString"	"unknown01"	"nameColor"	"bkgdColor"	"doTransactionLogging"	"changeItemClassToMatchRequiredQualityOnly"	"always_identified"	"price_multiplier"	"recipe_quantity_multiplier"	"unknown02"	"minLevel"	"rarity"	"vendorRarity"	"luckRarity"	"lookGroup"	"state"	"flippySound"	"usable"	"scrapQuality"	"isSpecialScrapQuality"	"scrapQualityDefault"	"extraScrapChance"	"extraScrapItem"	"extraScrapQuality"	"dismantleResultSound"	"downgrade"	"upgrade"	"prefixName"	"prefixType"	"prefixCount"	"force"	"suffixName"	"suffixType"	"suffixCount"	"procChance"	"luckProbMod"	"affix1Chance"	"affix1Type1Weight"	"affix1Type2Weight"	"affix1Type3Weight"	"affix1Type4Weight"	"affix1Type5Weight"	"affix1Type6Weight"	"affix1Type1"	"affix1Type2"	"affix1Type3"	"affix1Type4"	"affix1Type5"	"affix1Type6"	"affix2Chance"	"affix2Type1Weight"	"affix2Type2Weight"	"affix2Type3Weight"	"affix2Type4Weight"	"affix2Type5Weight"	"affix2Type6Weight"	"affix2Type1"	"affix2Type2"	"affix2Type3"	"affix2Type4"	"affix2Type5"	"affix2Type6"	"affix3Chance"	"affix3Type1Weight"	"affix3Type2Weight"	"affix3Type3Weight"	"affix3Type4Weight"	"affix3Type5Weight"	"affix3Type6Weight"	"affix3Type1"	"affix3Type2"	"affix3Type3"	"affix3Type4"	"affix3Type5"	"affix3Type6"	"affix4Chance"	"affix4Type1Weight"	"affix4Type2Weight"	"affix4Type3Weight"	"affix4Type4Weight"	"affix4Type5Weight"	"affix4Type6Weight"	"affix4Type1"	"affix4Type2"	"affix4Type3"	"affix4Type4"	"affix4Type5"	"affix4Type6"	"affix5Chance"	"affix5Type1Weight"	"affix5Type2Weight"	"affix5Type3Weight"	"affix5Type4Weight"	"affix5Type5Weight"	"affix5Type6Weight"	"affix5Type1"	"affix5Type2"	"affix5Type3"	"affix5Type4"	"affix5Type5"	"affix5Type6"	"affix6Chance"	"affix6Type1Weight"	"affix6Type2Weight"	"affix6Type3Weight"	"affix6Type4Weight"	"affix6Type5Weight"	"affix6Type6Weight"	"affix6Type1"	"affix6Type2"	"affix6Type3"	"affix6Type4"	"affix6Type5"	"affix6Type6"	"badgeFrame"
"unique-m"	17456	493	494	1	0	5023	0	48	57	1	1	0	10	4	0	0	10	0	0	-1	99	5313	1	2	0	0	100	116	3	-1	8	-1	0	-1	0	0	0	-1	0	60	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	3	-1	-1	-1	-1	-1	"26,50,0"	"26,27,0"	"26,3,0"	"26,1,0"	0	0	0	0	1	3	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_unique"
"powerup"	18224	496	-1	0	0	-1	0	42	51	0	0	0	0	1	0	0	1	0	0	-1	-1	-1	1	-1	0	-1	0	-1	-1	-1	-1	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	
"normal_ring"	20016	483	-1	0	0	-1	0	132	133	0	0	0	0	1	0	0	0	0	-4500	-1	94	5683	1	0	0	0	3	116	3	5633	-1	13	0	-1	0	0	0	-1	0	60	0	"26,100,0"	"26,10,0"	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_uncommon"
"rare_ring"	20272	485	486	0	0	-1	0	44	53	1	0	0	5	0	0	0	0	0	0	-1	95	5687	1	2	0	0	8	116	3	5913	12	14	0	-1	0	0	0	-1	0	40	0	"26,100,0"	"26,10,0"	0	0	0	0	0	1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_rare"
"legendary_ring"	20528	489	490	0	0	-1	0	45	54	1	0	0	7	3	0	0	0	0	0	-1	97	5684	1	2	0	0	20	116	3	5908	13	-1	0	-1	0	0	0	-1	0	30	0	"26,100,0"	"26,10,0"	0	0	0	0	0	3	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_legendary"
"unique_ring"	20784	493	494	1	0	5023	0	48	57	1	1	0	10	4	0	0	0	0	0	-1	99	5690	1	2	0	0	100	116	3	5909	3	-1	0	-1	0	0	0	-1	0	20	0	"26,100,0"	"26,10,0"	0	0	0	0	0	3	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_unique"
"core"	18992	15371	15370	0	0	-1	0	157	160	1	0	0	6	0	0	0	33	64	0	-1	1016	5689	1	2	0	0	14	116	3	5910	2	-1	0	-1	0	0	0	-1	0	30	0	"26,100,0"	"26,100,0"	0	0	0	0	0	8	-1	-1	-1	-1	-1	"26,100,0"	"26,100,0"	0	0	0	0	0	11	-1	-1	-1	-1	-1	"26,100,0"	"26,100,0"	0	0	0	0	0	10	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_legendary"
"mythic"	19248	15369	15368	0	0	-1	0	158	161	1	0	0	16	5	0	0	1	64	0	-1	1017	5313	1	2	0	0	100	116	3	5912	3	-1	0	-1	0	0	0	-1	0	70	0	"26,100,0"	"26,100,0"	0	0	0	0	0	7	-1	-1	-1	-1	-1	"26,100,0"	"26,5,0"	0	0	0	0	0	11	-1	-1	-1	-1	-1	"26,100,0"	"26,4,0"	"26,4,0"	0	0	0	0	3	1	-1	-1	-1	-1	"26,100,0"	"26,4,0"	"26,4,0"	"26,2,0"	0	0	0	3	1	0	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_unique"
"mythic-m"	19504	15369	15368	0	0	-1	0	158	161	1	0	0	16	5	0	0	1	0	0	-1	1017	5313	1	2	0	0	100	116	3	5912	3	-1	0	-1	0	0	0	-1	0	70	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"26,100,0"	"26,10,0"	0	0	0	0	0	11	-1	-1	-1	-1	-1	"26,75,0"	"26,3,0"	"26,6,0"	0	0	0	0	3	1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	"badge_unique"
"negative"	19760	15331	15330	0	0	-1	0	10	61	1	0	0	1	1	0	0	0	0	0	-1	-1	5313	1	2	0	0	100	116	3	5909	-1	-1	0	-1	0	0	0	-1	0	70	0	"26,100,0"	"26,100,0"	0	0	0	0	0	10	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	
"cursed"	21040	15529	15528	0	0	-1	0	159	162	0	0	0	0	1	0	0	0	0	0	-1	1018	5688	1	-1	0	-1	0	-1	-1	5911	-1	-1	0	-1	0	0	0	-1	0	0	0	"26,100,0"	"26,100,0"	0	0	0	0	0	10	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	
