"ACHIEVEMENTS"	"name"	"code"	"nameString"	"descripFormatString"	"detailsString"	"rewardTypeString"	"revealCondition"	"revealValue"	"revealParentAchievement"	"playerClass0"	"playerClass1"	"playerClass2"	"playerClass3"	"playerClass4"	"playerClass5"	"playerClass6"	"playerClass7"	"playerClass8"	"playerClass9"	"type"	"notActiveTillParentComplete"	"completeNumber"	"param1"	"monsterUnitType0"	"monsterUnitType1"	"monsterUnitType2"	"monsterUnitType3"	"monsterUnitType4"	"monsterUnitType5"	"monsterUnitType6"	"monsterUnitType7"	"monsterUnitType8"	"monsterUnitType9"	"questTaskComplete"	"randomQuests"	"monster"	"Object"	"item"	"quality"	"skill"	"level"	"stat"	"rewardAchievementPoints"	"rewardTreasureClass"	"rewardXP"	"rewardSkill"	"rewardScript"
"3,60,0,-1,0,-1"	"fists_kill"	19265	1440	1441	1442	-1	1	75	-1	0	0	0	0	0	0	0	0	0	0	3	-1	100	0	7	-76	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	324	-1	-1	20	-1	2000	-1	0
"3,60,0,-1,0,-1"	"speed_kills_1"	19521	1443	1444	1445	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	4	-1	50	30	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	50	-1	5000	-1	0
"3,60,0,-1,0,-1"	"fill_inventory"	19777	1446	1447	1448	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	21	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"destroy_breakables"	20033	1449	1450	1451	-1	1	600	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1000	0	206	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	20	-1	2000	-1	0
"3,60,0,-1,0,-1"	"use_medkits"	20289	1452	1453	1454	-1	1	200	-1	0	0	0	0	0	0	0	0	0	0	9	-1	300	0	75	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	30	-1	3000	-1	0
"3,60,0,-1,0,-1"	"use_prds"	20545	1455	1456	1457	-1	1	75	-1	0	0	0	0	0	0	0	0	0	0	9	-1	100	0	154	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	30	-1	3000	-1	0
"3,60,0,-1,0,-1"	"items_mod_1"	20801	1458	1459	1460	-1	1	15	-1	0	0	0	0	0	0	0	0	0	0	10	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"items_craft_1"	21057	1461	1462	1463	-1	1	5	-1	0	0	0	0	0	0	0	0	0	0	11	-1	10	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	40	-1	4000	-1	0
"3,60,0,-1,0,-1"	"items_upgrade_1"	21313	1464	1465	1466	-1	1	5	-1	0	0	0	0	0	0	0	0	0	0	12	-1	10	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	35	-1	3500	-1	0
"3,60,0,-1,0,-1"	"items_identify_1"	21569	1467	1468	1469	-1	1	750	-1	0	0	0	0	0	0	0	0	0	0	13	-1	2000	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"items_dismantle_1"	21825	1470	1471	1472	-1	1	500	-1	0	0	0	0	0	0	0	0	0	0	14	-1	1000	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	25	-1	2500	-1	0
"3,60,0,-1,0,-1"	"speed_level_1"	22081	1473	1474	1475	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	15	-1	10	14400	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"speed_level_2"	22337	1476	1477	1478	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	15	-1	20	50400	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	200	-1	20000	-1	0
"3,60,0,-1,0,-1"	"win_minigame_1"	22593	1479	1480	1481	-1	1	14	-1	0	0	0	0	0	0	0	0	0	0	8	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	150	-1	15000	-1	0
"3,60,0,-1,0,-1"	"skill_up_1"	22849	1482	1483	1484	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	16	-1	10	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"fill_skill_tree"	23105	1485	1486	1487	-1	2	0	-1	0	0	0	0	0	0	0	0	0	0	17	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	200	-1	20000	-1	0
"3,60,0,-1,0,-1"	"find_level_1"	24897	1488	1489	1490	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	18	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	199	-1	200	-1	20000	-1	0
"3,60,0,-1,0,-1"	"kill_imps_1"	25153	1491	1492	1493	-1	1	250	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1000	0	79	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"kill_imps_2"	25409	1494	1495	1496	-1	1	2500	-1	0	0	0	0	0	0	0	0	0	0	0	-1	10000	0	79	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	50	-1	5000	-1	0
"3,60,0,-1,0,-1"	"kill_undead_1"	27713	1521	1522	1523	-1	1	750	-1	0	0	0	0	0	0	0	0	0	0	0	-1	3000	0	10	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	20	-1	2000	-1	0
"3,60,0,-1,0,-1"	"kill_undead_2"	27969	1524	1525	1526	-1	1	5000	-1	0	0	0	0	0	0	0	0	0	0	0	-1	20000	0	10	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"kill_spectrals_1"	28225	1527	1528	1529	-1	1	750	-1	0	0	0	0	0	0	0	0	0	0	0	-1	3000	0	12	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	20	-1	2000	-1	0
"3,60,0,-1,0,-1"	"kill_spectrals_2"	28481	1530	1531	1532	-1	1	5000	-1	0	0	0	0	0	0	0	0	0	0	0	-1	20000	0	12	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"kill_beasts_1"	29249	1539	1540	1541	-1	1	750	-1	0	0	0	0	0	0	0	0	0	0	0	-1	3000	0	11	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	20	-1	2000	-1	0
"3,60,0,-1,0,-1"	"kill_beasts_2"	29505	1542	1543	1544	-1	1	5000	-1	0	0	0	0	0	0	0	0	0	0	0	-1	20000	0	11	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	100	-1	10000	-1	0
"3,60,0,-1,0,-1"	"kill_demons_1"	29761	1545	1546	1547	-1	1	6250	-1	0	0	0	0	0	0	0	0	0	0	0	-1	25000	0	13	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	120	-1	12000	-1	0
"3,60,0,-1,0,-1"	"kill_demons_2"	30017	1548	1549	1550	-1	1	25000	-1	0	0	0	0	0	0	0	0	0	0	0	-1	100000	0	13	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	500	-1	50000	-1	0
"3,60,0,-1,0,-1"	"kill_sydonai"	30273	1551	1552	1553	-1	1	10	-1	0	0	0	0	0	0	0	0	0	0	0	-1	100	0	0	0	0	0	0	0	0	0	0	0	-1	0	476	-1	-1	-1	-1	-1	-1	500	-1	50000	-1	0
"3,60,0,-1,0,-1"	"kill_shulgoth"	30529	1554	1555	1556	-1	1	10	-1	0	0	0	0	0	0	0	0	0	0	0	-1	100	0	0	0	0	0	0	0	0	0	0	0	-1	0	437	-1	-1	-1	-1	-1	-1	500	-1	50000	-1	0
"3,60,0,-1,0,-1"	"kill_orbiles_1"	25665	1497	1498	1499	-1	1	250	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1000	0	466	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"kill_orbiles_2"	25921	1500	1501	1502	-1	1	2500	-1	0	0	0	0	0	0	0	0	0	0	0	-1	10000	0	466	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	50	-1	5000	-1	0
"3,60,0,-1,0,-1"	"kill_stalkers_1"	26177	1503	1504	1505	-1	1	250	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1000	0	467	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"kill_stalkers_2"	26433	1506	1507	1508	-1	1	2500	-1	0	0	0	0	0	0	0	0	0	0	0	-1	10000	0	467	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	50	-1	5000	-1	0
"3,60,0,-1,0,-1"	"kill_ravagers_1"	27201	1515	1516	1517	-1	1	250	-1	0	0	0	0	0	0	0	0	0	0	0	-1	1000	0	468	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	10	-1	1000	-1	0
"3,60,0,-1,0,-1"	"kill_ravagers_2"	27457	1518	1519	1520	-1	1	2500	-1	0	0	0	0	0	0	0	0	0	0	0	-1	10000	0	468	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	50	-1	5000	-1	0
