WARDROBE_MODEL	modelGroup	appearanceGroup	appearanceGroup2	undefined2	fileName	defaultMaterial	undefined3	partGroup	undefinedBool1	undefinedBool2	undefinedBool3	undefined4	undefined5	boxMinX	boxMinY	boxMinZ	boxMaxX	boxMaxY	boxMaxZ
0	3	5	-1	20	data/units/players/cabalist/cabalist_male_fp/arcane_light/cm_arcane_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	21			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	11	8	-1	22	data/units/players/cabalist/cabalist_female_fp/focus_a/Female_focus_a.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	2	8	-1	23	data/units/players/cabalist/cabalist_female_fp/apprentice/cf_apprentice.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	3	8	-1	24	data/units/players/cabalist/cabalist_female_fp/arcane_light/cf_arcane_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	25			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	2	6	-1	26	data/units/players/hunter/hunter_male_fp/apprentice/hm_apprentice.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	4	6	-1	27	data/units/players/hunter/hunter_male_fp/arcane_heavy/hm_arcane_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	3	6	-1	28	data/units/players/hunter/hunter_male_fp/arcane_light/hm_arcane_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	6	6	-1	29	data/units/players/hunter/hunter_male_fp/mystic_heavy/hm_mystic_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	5	6	-1	30	data/units/players/hunter/hunter_male_fp/mystic_light/hm_mystic_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	10	6	-1	31	data/units/players/hunter/hunter_male_fp/tech_heavy/hm_tech_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	9	6	-1	32	data/units/players/hunter/hunter_male_fp/tech_light/hm_tech_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	2	9	-1	33	data/units/players/hunter/hunter_female_fp/apprentice/hf_apprentice.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	4	9	-1	34	data/units/players/hunter/hunter_female_fp/arcane_heavy/hf_arcane_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	3	9	-1	35	data/units/players/hunter/hunter_female_fp/arcane_light/hf_arcane_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	6	9	-1	36	data/units/players/hunter/hunter_female_fp/mystic_heavy/hf_mystic_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	5	9	-1	37	data/units/players/hunter/hunter_female_fp/mystic_light/hf_mystic_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	10	9	-1	38	data/units/players/hunter/hunter_female_fp/tech_heavy/hf_tech_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	9	9	-1	39	data/units/players/hunter/hunter_female_fp/tech_light/hf_tech_light.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	12	2	-1	40	data/units/players/hunter/hunter_male_fp/arcane_heavy/hm_arcane_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	12	3	-1	41	data/units/players/hunter/hunter_female_fp/arcane_heavy/hf_arcane_heavy.GR2	ActorTemplar_3p	-1	1	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	14	10	-1	42	data/units/players/templar/templar_male_3p/starter/tm_street_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	15	10	-1	43	data/units/players/templar/templar_male_3p/apprentice/tm_apprentice.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	16	10	-1	44	data/units/players/templar/templar_male_3p/arcane_light/tm_arcane_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	17	10	-1	45	data/units/players/templar/templar_male_3p/arcane_heavy/tm_arcane_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	46			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	47			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	20	10	-1	48	data/units/players/templar/templar_male_3p/power_light/tm_power_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	21	10	-1	49	data/units/players/templar/templar_male_3p/power_heavy/tm_power_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	23	10	-1	50	data/units/players/templar/templar_male_3p/tech_light/tm_tech_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	24	10	-1	51	data/units/players/templar/templar_male_3p/tech_heavy/tm_tech_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	25	10	-1	52	data/units/players/templar/templar_male_3p/tech_heavy/tm_tech_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	33	10	-1	53	data/units/players/templar/templar_male_3p/apprentice/tm_apprentice_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	34	10	-1	54	data/units/players/templar/templar_male_3p/arcane_light/tm_arcane_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	35	10	-1	55	data/units/players/templar/templar_male_3p/arcane_heavy/tm_arcane_heavy_helmet.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	56			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	57			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	38	10	-1	58	data/units/players/templar/templar_male_3p/power_light/tm_power_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	39	10	-1	59	data/units/players/templar/templar_male_3p/power_heavy/tm_power_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	41	10	-1	60	data/units/players/templar/templar_male_3p/tech_light/tm_tech_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	42	10	-1	61	data/units/players/templar/templar_male_3p/tech_heavy/tm_tech_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	62			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	63			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	14	14	-1	64	data/units/players/templar/templar_female_3p/starter/tf_3p_starter.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	15	14	-1	65	data/units/players/templar/templar_female_3p/apprentice/tf_apprentice.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	16	14	-1	66	data/units/players/templar/templar_female_3p/arcane_light/tf_arcane_light_mesh.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	17	14	-1	67	data/units/players/templar/templar_female_3p/arcane_heavy/tf_arcane_heavy_mesh.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	68			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	69			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	20	14	-1	70	data/units/players/templar/templar_female_3p/power_light/tf_power_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	21	14	-1	71	data/units/players/templar/templar_female_3p/power_heavy/tf_power_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	23	14	-1	72	data/units/players/templar/templar_female_3p/tech_light/tf_tech_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	24	14	-1	73	data/units/players/templar/templar_female_3p/tech_heavy/tf_tech_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	33	14	-1	74	data/units/players/templar/templar_female_3p/apprentice/tf_apprentice_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	34	14	-1	75	data/units/players/templar/templar_female_3p/arcane_light/tf_arcane_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	35	14	-1	76	data/units/players/templar/templar_female_3p/arcane_heavy/tf_arcane_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	77			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	78			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	38	14	-1	79	data/units/players/templar/templar_female_3p/power_light/tf_power_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	39	14	-1	80	data/units/players/templar/templar_female_3p/power_heavy/tf_power_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	41	14	-1	81	data/units/players/templar/templar_female_3p/tech_light/tf_tech_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	42	14	-1	82	data/units/players/templar/templar_female_3p/tech_heavy/tf_tech_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	83			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	84			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	14	11	-1	85	data/units/players/templar/templar_male_3p/starter/tm_street_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	15	11	-1	86	data/units/players/cabalist/cabalist_male_3p/apprentice/cm_apprentice.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	16	11	-1	87	data/units/players/cabalist/cabalist_male_3p/arcane_light/cm_arcane_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	17	11	-1	88	data/units/players/cabalist/cabalist_male_3p/arcane_heavy/cm_arcane_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	89			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	90			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	20	11	-1	91	data/units/players/cabalist/cabalist_male_3p/power_light/cm_power_light_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	21	11	-1	92	data/units/players/cabalist/cabalist_male_3p/power_heavy/cm_power_heavy_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	93			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	23	11	-1	94	data/units/players/cabalist/cabalist_male_3p/tech_light/cm_tech_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	24	11	-1	95	data/units/players/cabalist/cabalist_male_3p/tech_heavy/cm_tech_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	33	11	-1	96	data/units/players/cabalist/cabalist_male_3p/apprentice/cm_apprentice_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	34	11	-1	97	data/units/players/cabalist/cabalist_male_3p/arcane_light/cm_arcane_light_helmet.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	35	11	-1	98	data/units/players/cabalist/cabalist_male_3p/arcane_heavy/cm_arcane_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	99			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	100			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	38	11	-1	101	data/units/players/cabalist/cabalist_male_3p/power_light/cm_power_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	39	11	-1	102	data/units/players/cabalist/cabalist_male_3p/power_heavy/cm_power_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	103			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	41	11	-1	104	data/units/players/cabalist/cabalist_male_3p/tech_light/cm_tech_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	42	11	-1	105	data/units/players/cabalist/cabalist_male_3p/tech_heavy/cm_tech_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	106			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	107			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	14	15	-1	108	data/units/players/templar/templar_female_3p/starter/tf_3p_starter.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	15	15	-1	109	data/units/players/cabalist/cabalist_female_3p/apprentice/cf_apprentice.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	16	15	-1	110	data/units/players/cabalist/cabalist_female_3p/arcane_light/cf_3p_arcane_light_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	17	15	-1	111	data/units/players/cabalist/cabalist_female_3p/arcane_heavy/cf_arcane_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	112			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	113			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	20	15	-1	114	data/units/players/cabalist/cabalist_female_3p/power_light/cf_power_light_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	21	15	-1	115	data/units/players/cabalist/cabalist_female_3p/power_heavy/cf_power_heavy_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	116			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	23	15	-1	117	data/units/players/cabalist/cabalist_female_3p/tech_light/cf_tech_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	24	15	-1	118	data/units/players/cabalist/cabalist_female_3p/tech_heavy/cf_tech_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	33	15	-1	119	data/units/players/cabalist/cabalist_female_3p/apprentice/cf_apprentice_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	34	15	-1	120	data/units/players/cabalist/cabalist_female_3p/arcane_light/cf_arcane_helmet.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	35	15	-1	121	data/units/players/cabalist/cabalist_female_3p/arcane_heavy/cf_arcane_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	122			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	123			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	38	15	-1	124	data/units/players/cabalist/cabalist_female_3p/power_light/cf_power_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	39	15	-1	125	data/units/players/cabalist/cabalist_female_3p/power_heavy/cf_power_heavy_helmet.gr2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	126			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	41	15	-1	127	data/units/players/cabalist/cabalist_female_3p/tech_light/cf_tech_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	42	15	-1	128	data/units/players/cabalist/cabalist_female_3p/tech_heavy/cf_tech_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	129			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	130			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	63	11	-1	131	data/units/players/cabalist/cabalist_male_3p/focus_a/cm_focus_a.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	63	15	-1	132	data/units/players/cabalist/cabalist_female_3p/focus_a/cf_3p_focus_a.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	14	13	-1	133	data/units/players/templar/templar_female_3p/starter/tf_3p_starter.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	15	13	-1	134	data/units/players/hunter/hunter_female_3p/apprentice/hf_apprentice.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	16	13	-1	135	data/units/players/hunter/hunter_female_3p/arcane_light/hf_arcane_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	17	13	-1	136	data/units/players/hunter/hunter_female_3p/arcane_heavy/hf_arcane_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	18	13	-1	137	data/units/players/hunter/hunter_female_3p/mystic_light/hf_mystic_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	19	13	-1	138	data/units/players/hunter/hunter_female_3p/mystic_heavy/hf_mystic_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	139			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	140			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	23	13	-1	141	data/units/players/hunter/hunter_female_3p/tech_light/hf_tech_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	24	13	-1	142	data/units/players/hunter/hunter_female_3p/tech_heavy/hf_tech_heavy_suit.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	143			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	33	13	-1	144	data/units/players/hunter/hunter_female_3p/apprentice/hf_apprentice_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	34	13	-1	145	data/units/players/hunter/hunter_female_3p/arcane_light/hf_arcane_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	35	13	-1	146	data/units/players/hunter/hunter_female_3p/arcane_heavy/hf_arcane_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	36	13	-1	147	data/units/players/hunter/hunter_female_3p/mystic_light/hf_mystic_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	37	13	-1	148	data/units/players/hunter/hunter_female_3p/mystic_heavy/hf_mystic_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	149			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	150			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	41	13	-1	151	data/units/players/hunter/hunter_female_3p/tech_light/hf_tech_light_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	42	13	-1	152	data/units/players/hunter/hunter_female_3p/tech_heavy/hf_tech_heavy_helm.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	153			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	154			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	0	0	0	155			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	14	12	-1	156	data/units/players/templar/templar_male_3p/starter/tm_street_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	15	12	-1	157	data/units/players/hunter/hunter_male_3p/apprentice/hm_apprentice.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	16	12	-1	158	data/units/players/hunter/hunter_male_3p/arcane_light/hm_arcane_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	17	12	-1	159	data/units/players/hunter/hunter_male_3p/arcane_heavy/hm_arcane_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	18	12	-1	160	data/units/players/hunter/hunter_male_3p/mystic_light/hm_mystic_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	19	12	-1	161	data/units/players/hunter/hunter_male_3p/mystic_heavy/hm_mystic_heavy.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	0	0	0	162			-1	-1	0	0	0	0	0	-1	-1	0	1	1	2
0	21	12	-1	163	data/units/players/hunter/hunter_male_3p/power_heavy/hm_power_heavy_body.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
0	23	12	-1	164	data/units/players/hunter/hunter_male_3p/tech_light/hm_tech_light.GR2	ActorTemplar_3p	-1	0	0	0	0	0	0	-0.5	-0.5	0	0.5	0.5	2
