PROPS	name	outDoor	outDoorVisibility	computeAmbientOcclusion	noMonsterSpawn	noAdventures	noSubLevelEntrance	occupiesNodes	raisesNodes	fullCollision	dontObstructSound	dontOccludeVisibility	thirdPersonCameraIgnore	rtsCameraIgnore	havokSliceType	roomVersion	nodeBuffer	reverbEnvironment	backGroundSound	noGore	noHumans
"3,60,0,-1,0,-1"	Props\HellgateWall\HellgateWall	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\BlastDoor_A\BlastDoor_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\BlastDoor_A\BlastDoor_B	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\RosettaStone_A\RosettaStone_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Garbage_Bin_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Big_Crate_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,48,0,-1,0,-1"	Props\Room_props\Maintenance_computer_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1		-1	-1	-1
"3,1,0,-1,0,-1"	Props\Room_props\Jump_Box_1m	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Locker_B	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Newspapers_A	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Pipes_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Shelves_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\Table_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\PathNodeBlocker_A	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Room_props\PathNodeBlockerLarge_A	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1		-1	-1	-1
"3,60,0,-1,0,-1"	Props\Room_props\Hanging_OilTanks_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1		-1	-1	-1
"3,60,0,-1,0,-1"	Props\Room_props\Caves_Fountain	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1		-1	-1	-1
"3,60,0,-1,0,-1"	Props\Room_props\Caves_Gems_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1		-1	-1	-1
"3,60,0,-1,0,-1"	Props\Room_props\Caves_entrance	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1		-1	-1	-1
"3,62,0,-1,0,-1"	Props\stalker_corpses\stalker_corpse01	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\stalker_corpses\stalker_corpse02	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\TemplarTech\TempProp_GunA	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\TemplarTech\warp_generatorA	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\TemplarTech\warp_generatorB	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\Hell_Tower_Statues\Statue_Masterfiend	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\Hell_Tower_Statues\Statue_Shulgoth	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\TemplarTech\invisiblewall	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\scaffold_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\scaffold_B	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\scaffold_C	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trailer_A	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\StreetClutter\statue_horseA	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_A	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_B	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_C	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_D	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_spikes	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\redwhite_curb	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_razorwire_A	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barricade_razorwire_B	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\light_tower_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\light_tower_B	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\cargoboxA	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\cargoboxB	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\dumpsterA	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\newstand_A	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\barrel_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\firebarrel_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\bluelightbarrel_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\phonebooth_A	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\phonebooth_B	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\pipe_A	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.25		-1	-1	-1
"3,60,0,-1,0,-1"	Props\StreetClutter\statue_hebeA	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\taxi_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\tree_A	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,60,0,-1,0,-1"	Props\StreetClutter\tree_group_A	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\statue_B	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\statue_C	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\statue_D	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Park_Bench_A	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Park_Bench_B	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Bicycle_Aa	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Bicycle_Ab	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\unicycle_A	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Tire_A	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Tire_B	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Tree_W	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Tree_X	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Tree_Y	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Tree_Z	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Shrub_W	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Shrub_Y	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Shrub_row_A	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Shrub_row_B	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Shrub_clump_A	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Shrub_clump_B	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Rock_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Rock_B	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\Rock_C	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\PedSign_CGM_A	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_On	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_old	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_A	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_B	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_C	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_D	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_E	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_F	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_G	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\streetlamp_H	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_busescycles	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_no_entry	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_no_right	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_oneway	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_busroute	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_A	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_B	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_C	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_D	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_E	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_F	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\trafficlight_G	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\cctv	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\litter_bin	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_pylon	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_post	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\traffic_railing	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\curb_A	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\curb_B	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\crosswalk_pole	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\mailbox_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\rubbleA	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\rubbleB	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\rubbleC	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\rubbleD	0	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wall_low_corner	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wall_low_corner_B	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wall_low	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wall_low_B	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wall_fence	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\aerial	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\airconditioner	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\chimney_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\chimney_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\drainpipe_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\drainpipe_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\drainpipe_C	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\girder_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\girder_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\girder_C	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\powerbox_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\powerbox_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\pub_clock	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\pub_planter	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\rebar_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\rebar_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\standpipe_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\standpipe_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\standpipe_C	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wood_stud_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wood_stud_B	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\wood_stud_C	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\StreetClutter\gunda	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_demolitionhammer_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_axe_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_barrier_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_barrier_Ab	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_shovel_A	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_cone_A	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\backhoeshovel_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\backhoeshovel_Ac	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\backhoeexcavator_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\ConstructionEquipment\backhoeexcavator_A_glass	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\backhoeexcavator_Ac	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_generator_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\ConstructionEquipment\Construction_portablelight_A	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\ConstructionEquipment\underconstruction	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Vehicles\Ambulance_A	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,1,0,-1,0,-1"	Props\Vehicles\Ambulance_A_glass	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Vehicles\Ambulance_Ab	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Vehicles\Ambulance_Ac	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0.5		-1	-1	-1
"3,62,0,-1,0,-1"	Props\Vehicles\Auto_A	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0.5		-1	-1	-1
