ITEM_LEVELS	baseDamageMultiplyer	armor	armorBuffer	armorRegen	shields	shieldsBuffer	shieldsRegen	sfxAttackAbility	sfxDefenceAbility	interruptAttack	interruptDefence	stealthAttack	aiChangerAttack	feed	levelRequirement	itemLevelMin	itemLevelMax	buyPriceBase	sellPriceBase	augmentCostCommon	augmentCostRare	augmentCostLegendary	augmentCostRandom	scrapUpgradeQuantity	specialScrapUpgradeQuantity	itemLevelsPerUpgrade	
17	105	105	1050	52	265	265	-7	105	105	95	95	95	95	34	12	9	23	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1700	6800	27200	0	38	19	2
18	109	110	1100	55	282	282	-8	110	110	100	100	100	100	35	13	10	24	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1800	7200	28800	0	40	20	2
19	113	115	1150	57	299	299	-8	115	115	105	105	105	105	37	14	11	25	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	1900	7600	30400	0	42	21	2
20	117	120	1200	60	316	316	-8	120	120	110	110	110	110	38	15	12	26	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2000	8000	32000	0	44	22	2
21	121	125	1250	62	333	333	-9	125	125	115	115	115	115	40	15	13	27	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2100	8400	33600	0	46	23	2
22	125	130	1300	65	350	350	-9	130	130	120	120	120	120	41	16	14	28	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2200	8800	35200	0	48	24	2
23	129	135	1350	67	367	367	-10	135	135	125	125	125	125	43	17	15	29	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2300	9200	36800	0	50	25	2
24	133	140	1400	70	384	384	-10	140	140	130	130	130	130	44	18	16	30	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2400	9600	38400	0	52	26	2
25	137	145	1450	72	401	401	-11	145	145	135	135	135	135	46	19	17	31	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2500	10000	40000	0	54	27	2
26	141	150	1500	75	418	418	-11	150	150	140	140	140	140	47	20	18	32	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2600	10400	41600	0	56	28	2
27	145	155	1550	77	435	435	-11	155	155	145	145	145	145	49	21	19	33	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2700	10800	43200	0	58	29	2
28	149	160	1600	80	452	452	-12	160	160	150	150	150	150	50	22	20	34	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2800	11200	44800	0	60	30	2
29	153	165	1650	82	469	469	-12	165	165	155	155	155	155	52	23	21	35	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	2900	11600	46400	0	62	31	2
30	157	170	1700	85	486	486	-13	170	170	160	160	160	160	53	24	22	36	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3000	12000	48000	0	64	32	2
31	161	175	1750	87	503	503	-13	175	175	165	165	165	165	55	24	23	37	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3100	12400	49600	0	66	33	2
32	165	180	1800	90	520	520	-14	180	180	170	170	170	170	56	25	24	38	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3200	12800	51200	0	68	34	2
33	169	185	1850	92	537	537	-14	185	185	175	175	175	175	58	26	25	39	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3300	13200	52800	0	70	35	2
34	173	190	1900	95	554	554	-14	190	190	180	180	180	180	59	27	26	40	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3400	13600	54400	0	72	36	2
35	177	195	1950	97	571	571	-15	195	195	185	185	185	185	61	28	27	41	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3500	14000	56000	0	74	37	2
36	181	200	2000	100	588	588	-15	200	200	190	190	190	190	62	29	28	42	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3600	14400	57600	0	76	38	2
37	185	205	2050	102	605	605	-16	205	205	195	195	195	195	64	30	29	43	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3700	14800	59200	0	78	39	2
38	189	210	2100	105	622	622	-16	210	210	200	200	200	200	65	31	30	44	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3800	15200	60800	0	80	40	2
39	193	215	2150	107	639	639	-16	215	215	205	205	205	205	67	32	31	45	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	3900	15600	62400	0	82	41	2
40	197	220	2200	110	656	656	-17	220	220	210	210	210	210	68	33	32	46	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4000	16000	64000	0	84	42	2
41	201	225	2250	112	673	673	-17	225	225	215	215	215	215	70	33	33	47	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4100	16400	65600	0	86	43	2
42	205	230	2300	115	690	690	-18	230	230	220	220	220	220	71	34	34	48	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4200	16800	67200	0	88	44	2
43	209	235	2350	117	707	707	-18	235	235	225	225	225	225	73	35	35	49	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4300	17200	68800	0	90	45	2
44	213	240	2400	120	724	724	-19	240	240	230	230	230	230	74	36	36	50	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4400	17600	70400	0	92	46	2
45	217	245	2450	122	741	741	-19	245	245	235	235	235	235	76	37	37	51	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4500	18000	72000	0	94	47	2
46	221	250	2500	125	758	758	-19	250	250	240	240	240	240	77	38	38	52	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4600	18400	73600	0	96	48	2
47	225	255	2550	127	775	775	-20	255	255	245	245	245	245	79	39	39	53	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4700	18800	75200	0	98	49	2
48	229	260	2600	130	792	792	-20	260	260	250	250	250	250	80	40	40	54	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4800	19200	76800	0	100	50	2
49	233	265	2650	132	809	809	-21	265	265	255	255	255	255	82	41	41	55	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	4900	19600	78400	0	102	51	2
50	237	270	2700	135	826	826	-21	270	270	260	260	260	260	83	42	42	56	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5000	20000	80000	0	104	52	2
51	241	275	2750	137	843	843	-22	275	275	265	265	265	265	85	42	43	57	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5100	20400	81600	0	106	53	2
52	245	280	2800	140	856	856	-22	280	280	270	270	270	270	86	43	44	58	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5200	20800	83200	0	108	54	2
53	249	285	2850	142	869	869	-22	285	285	275	275	275	275	88	44	45	59	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5300	21200	84800	0	110	55	2
54	253	290	2900	145	887	887	-23	290	290	280	280	280	280	89	45	46	60	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5400	21600	86400	0	112	56	2
55	257	295	2950	147	900	900	-23	295	295	285	285	285	285	91	46	47	61	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5500	22000	88000	0	114	57	2
56	261	300	3000	150	914	914	-23	300	300	290	290	290	290	92	47	48	62	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5600	22400	89600	0	116	58	2
57	265	305	3050	152	932	932	-24	305	305	295	295	295	295	94	48	49	63	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5700	22800	91200	0	118	59	2
58	269	310	3100	155	945	945	-24	310	310	300	300	300	300	95	49	50	64	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5800	23200	92800	0	120	60	2
59	273	315	3150	157	957	957	-24	315	315	305	305	305	305	97	50	51	65	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	5900	23600	94400	0	122	61	2
60	277	320	3200	160	975	975	-25	320	320	310	310	310	310	98	50	52	66	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6000	24000	96000	0	124	62	2
61	281	325	3250	162	988	988	-25	325	325	315	315	315	315	100	50	53	67	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6100	24400	97600	0	126	63	2
62	285	330	3300	165	1001	1001	-26	330	330	320	320	320	320	101	50	54	68	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6200	24800	99200	0	128	64	2
63	289	335	3350	167	1018	1018	-26	335	335	325	325	325	325	103	50	55	69	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6300	25200	100800	0	130	65	2
64	293	340	3400	170	1031	1031	-26	340	340	330	330	330	330	104	50	56	70	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6400	25600	102400	0	132	66	2
65	297	345	3450	172	1044	1044	-27	345	345	335	335	335	335	106	50	57	71	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6500	26000	104000	0	134	67	2
66	301	350	3500	175	1061	1061	-27	350	350	340	340	340	340	107	50	58	72	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6600	26400	105600	0	136	68	2
67	305	355	3550	177	1074	1074	-27	355	355	345	345	345	345	109	50	59	73	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6700	26800	107200	0	138	69	2
68	309	360	3600	180	1086	1086	-28	360	360	350	350	350	350	110	58	60	74	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6800	27200	108800	0	140	70	2
69	313	365	3650	182	1103	1103	-28	365	365	355	355	355	355	112	59	61	75	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	6900	27600	110400	0	142	71	2
70	317	370	3700	185	1116	1116	-28	370	370	360	360	360	360	113	60	62	76	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7000	28000	112000	0	144	72	2
71	321	375	3750	187	1128	1128	-29	375	375	365	365	365	365	115	60	63	77	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7100	28400	113600	0	146	73	2
72	325	380	3800	190	1145	1145	-29	380	380	370	370	370	370	116	61	64	78	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7200	28800	115200	0	148	74	2
73	329	385	3850	192	1157	1157	-29	385	385	375	375	375	375	118	62	65	79	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7300	29200	116800	0	150	75	2
74	333	390	3900	195	1169	1169	-30	390	390	380	380	380	380	119	63	66	80	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7400	29600	118400	0	152	76	2
75	337	395	3950	197	1186	1186	-30	395	395	385	385	385	385	121	64	67	81	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7500	30000	120000	0	154	77	2
76	341	400	4000	200	1199	1199	-30	400	400	390	390	390	390	122	65	68	82	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7600	30400	121600	0	156	78	2
77	345	405	4050	202	1211	1211	-31	405	405	395	395	395	395	124	66	69	83	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7700	30800	123200	0	158	79	2
78	349	410	4100	205	1228	1228	-31	410	410	400	400	400	400	125	67	70	84	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7800	31200	124800	0	160	80	2
79	353	415	4150	207	1239	1239	-31	415	415	405	405	405	405	127	68	71	85	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	7900	31600	126400	0	162	81	2
80	357	420	4200	210	1251	1251	-32	420	420	410	410	410	410	128	69	72	86	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8000	32000	128000	0	164	82	2
81	361	425	4250	212	1268	1268	-32	425	425	415	415	415	415	130	69	73	87	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8100	32400	129600	0	166	83	2
82	365	430	4300	215	1280	1280	-33	430	430	420	420	420	420	131	70	74	88	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8200	32800	131200	0	168	84	2
83	369	435	4350	217	1292	1292	-33	435	435	425	425	425	425	133	71	75	89	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8300	33200	132800	0	170	85	2
84	373	440	4400	220	1309	1309	-33	440	440	430	430	430	430	134	72	76	90	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8400	33600	134400	0	172	86	2
85	377	445	4450	222	1320	1320	-34	445	445	435	435	435	435	136	73	77	91	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8500	34000	136000	0	174	87	2
86	381	450	4500	225	1332	1332	-34	450	450	440	440	440	440	137	74	78	92	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8600	34400	137600	0	176	88	2
87	385	455	4550	227	1349	1349	-34	455	455	445	445	445	445	139	75	79	93	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8700	34800	139200	0	178	89	2
88	389	460	4600	230	1360	1360	-35	460	460	450	450	450	450	140	76	80	94	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8800	35200	140800	0	180	90	2
89	393	465	4650	232	1372	1372	-35	465	465	455	455	455	455	142	77	81	95	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	8900	35600	142400	0	182	91	2
90	397	470	4700	235	1388	1388	-35	470	470	460	460	460	460	143	78	82	96	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9000	36000	144000	0	184	92	2
91	401	475	4750	237	1400	1400	-36	475	475	465	465	465	465	145	78	83	97	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9100	36400	145600	0	186	93	2
92	405	480	4800	240	1411	1411	-36	480	480	470	470	470	470	146	79	84	98	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9200	36800	147200	0	188	94	2
93	409	485	4850	242	1428	1428	-36	485	485	475	475	475	475	148	80	85	99	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9300	37200	148800	0	190	95	2
94	413	490	4900	245	1439	1439	-36	490	490	480	480	480	480	149	81	86	100	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9400	37600	150400	0	192	96	2
95	417	495	4950	247	1451	1451	-37	495	495	485	485	485	485	151	82	87	101	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9500	38000	152000	0	194	97	2
96	421	500	5000	250	1467	1467	-37	500	500	490	490	490	490	152	83	88	102	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9600	38400	153600	0	196	98	2
97	425	505	5050	252	1478	1478	-37	505	505	495	495	495	495	154	84	89	103	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9700	38800	155200	0	198	99	2
98	429	510	5100	255	1490	1490	-38	510	510	500	500	500	500	155	85	90	104	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9800	39200	156800	0	200	100	2
99	433	515	5150	257	1506	1506	-38	515	515	505	505	505	505	157	86	91	105	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	9900	39600	158400	0	202	101	2
100	437	520	5200	260	1517	1517	-38	520	520	510	510	510	510	158	87	92	106	"700,7,26,2,347,26,2,358,26,100,388,711,3,131,3,31,0"	"700,7,26,20,388,711,3,131,3,31,0"	10000	40000	160000	0	204	102	2
