OFFER	code	noDuplicates	doNotIdentify	numAllowedTakes	treasure0UnitType	treasure0	treasure1UnitType	treasure1	treasure2UnitType	treasure2	treasure3UnitType	treasure3	treasure4UnitType	treasure4	treasure5UnitType	treasure5	treasure6UnitType	treasure6	treasure7UnitType	treasure7	offerString	
QuestWhitehallCollectReward	26689	0	0	1	-1	169	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFindDobsterReward	29505	0	0	2	-1	178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestUsAndThemReward	28737	0	0	1	-1	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestLightWelterweightReward	30017	0	0	1	-1	174	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWelterweightReward	28993	0	0	1	-1	175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestKillNoNameReward	30529	0	0	1	-1	171	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDogsReward	30273	0	0	1	-1	172	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestHeyYouReward	29761	0	0	1	-1	173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestShineOnReward	30785	0	0	1	-1	179	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWandRelicReward	29249	0	0	1	-1	176	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFirstSampleOffer	26945	1	0	-1	-1	123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWormHuntRelic	27201	1	0	-1	-1	125	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWormHuntDevice	27457	1	0	-1	-1	126	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSecondSampleOffer	27713	1	0	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestCleanupOffer	27969	1	0	-1	-1	129	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11195
QuestHelpRescueOffer	28481	1	0	-1	-1	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestRiftScanOffer	31041	1	0	-1	-1	131	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSecretMessagesOffer	31297	1	0	-1	-1	132	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPortalBoostOffer	16706	1	0	-1	-1	142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTriageOffer	16962	1	0	-1	-1	147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheDeepOffer	30788	1	0	-1	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheSigilOffer	17218	1	0	-1	-1	149	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWeeManOffer	28225	1	0	-1	-1	185	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheKnockoutReward	18242	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBoldlyGoReward	18498	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheQueenReward	18754	0	1	1	-1	389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDataCrystalsReward	19010	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestAwayTeamReward	19266	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestCrivensReward	19522	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWeeManReward	19778	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDreamlandReward	20034	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOnTheStreetsReward	20290	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSweetDreamsReward	20546	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTrustMeToTrustYouReward	20802	0	1	1	-1	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTroubleFindReward	21058	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestInARowReward	21314	0	1	1	-1	407	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestUseForTheWinReward	21570	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheLenderReward	21826	0	1	1	-1	399	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestLikeAcidsEhReward	22082	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestNoPointInSteeringReward	22338	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheNarrowWayReward	22594	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestEchoesOfTheGoldReward	22850	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPuddingProofReward	23106	0	1	1	-1	412	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGigForOldCapReward	24898	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBillBraskyReward	25154	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMessageMenReward	25410	0	1	1	-1	394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestCluesForNewCapReward	25666	0	1	1	-1	408	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPlacementReward	25922	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMonkeysBusinessReward	26178	0	1	1	-1	416	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestJaywalkerReward	26434	0	1	1	-1	389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFineTimeReward	26690	0	1	1	-1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSingSmallReward	26946	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPutOnAClinicReward	27202	0	1	1	-1	401	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestNoLoveLostReward	27458	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestParaThyroidOfEvilReward	27714	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestResultsReward	27970	0	1	1	-1	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPatsyProtectorReward	29764	0	0	1	-1	418	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMysteriousBibelotReward	30020	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWoundedInActionReward	30276	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWalkInTheParkReward	30532	0	0	1	-1	419	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMagnificentThighsReward	28226	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheWorldGunReward	28482	0	1	1	-1	389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWonderTimes5000Reward	28738	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDeliveryOfThatReward	28994	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestErrandsForFeebleReward	29250	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDeadPoolReward	29506	0	0	1	-1	420	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestProperNoticeReward	29762	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSmallRedemptionsReward	30018	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestProvingGroundReward	30274	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheHellAboveReward	30530	0	1	1	-1	394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestHeartFeltReward	30786	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTransfusionReward	31042	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestAnteUpReward	31298	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDoubleOrNothingReward	16707	0	1	1	-1	389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestEvenStevenReward	16963	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSayByeToBookieReward	17219	0	1	1	-1	415	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestEnlistedMenWorkReward	17475	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOneBigPullReward	17731	0	1	1	-1	407	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOperateTomorrowReward	17987	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestEfficacyReward	18243	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFaithandFuryReward	18499	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestComeWhatMayReward	18755	0	1	1	-1	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGive110Reward	19011	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOmniaOmnibusReward	19267	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestThereAllHonorLiesReward	19523	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFidelisAdMortemReward	19779	0	1	1	-1	399	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestGoldDiggerReward	20035	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFightNightReward	20291	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheBoneHuntersReward	20547	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestKillEmRottenReward	20803	0	1	1	-1	407	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestAlerithsReward	21059	0	1	1	-1	402	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOnlyHumanReward	21315	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDateEscapeReward	21571	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMadLoveReward	21827	0	1	1	-1	394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestThreesACompanyReward	22083	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSafetysOnReward	22339	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestColdFeetReward	22595	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestShesNotCutYetReward	22851	0	1	1	-1	399	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheDealSealReward	23107	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPayrollReward	24899	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSeeingForSuckersReward	25155	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFetchBoyReward	25411	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBabyStepsReward	25667	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTakeItEasyShootReward	25923	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDemonsOfNotorietyReward	26179	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDrawAPictureReward	26435	0	1	1	-1	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestInOneSittingReward	26691	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOnAndOffReward	26947	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestThatIncludesBlasphemyReward	27203	0	1	1	-1	408	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDimensionsOfHellReward	27459	0	1	1	-1	389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOverTheRiverAndReward	27715	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestILikeYourOutfitReward	27971	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheBodyWarmsReward	28227	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWhoaCrankyReward	28483	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDaddysDeadReward	28739	0	1	1	-1	402	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDestroyerOfThemReward	28995	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestBroodGoByeReward	29251	0	1	1	-1	394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestScotchFrustrationReward	29507	0	1	1	-1	413	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestFruitlessReward	29763	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDubiousDoctoringReward	30019	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestCrybabyReward	30275	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSulkShirkReward	30531	0	1	1	-1	399	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSnootyWitchReward	30787	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestLateHarvestReward	31043	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTargetPracticeReward	31299	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestHaveGunWillWinReward	16708	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSurpriseYoureShotReward	16964	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSoulSlayerReward	17220	0	1	1	-1	404	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOneYouManyBirdsReward	17476	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestAidingAndAbettingReward	17732	0	1	1	-1	415	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPassingPresenceReward	17988	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestHistoryLessonsReward	18244	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestPriorityPartsReward	18500	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOldPathReward	18756	0	1	1	-1	399	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDayIDiedReward	19012	0	1	1	-1	390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestRemembranceReward	19268	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestAnothersWorkReward	19524	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestSweeperReward	19780	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestRelevantRelicsReward	20036	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestDeathToOrderReward	20292	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestRegicideReward	20548	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestTheOld GameReward	20804	0	1	1	-1	414	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMadKillSomethingReward	21060	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestCuteNameWhereFromReward	21316	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestForKingandCountryReward	21572	0	1	1	-1	398	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestNicePartyReward	21828	0	1	1	-1	389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOverkillReward	22084	0	1	1	-1	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWakingNightmarePillsReward	22340	0	1	1	-1	395	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMeansToAnEndReward	22596	0	1	1	-1	391	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestKillSwitchReward	22852	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestOldObjectiveObjectReward	23108	0	1	1	-1	392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestWhateverThenReward	24900	0	1	1	-1	405	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestRegularCustomerReward	25156	0	1	1	-1	393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestInventoryReward	25412	0	1	1	-1	394	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestLikelyProspectsReward	25668	0	1	1	-1	396	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestThisLandIsReward	25924	0	1	1	-1	397	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMoneyTreeReward	26180	0	1	1	-1	388	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
QuestMerchandisingReward	26436	0	1	1	-1	399	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
