"WARDROBE_BODY"	"name"	"layers1"	"layers2"	"layers3"	"layers4"	"Base"	"head"	"hair"	"facialHair"	"skin"	"hairColorTexture"	"skinColor"	"hairColor"	"randomize"	"randomLayerSets1"	"randomLayerSets2"	"randomLayerSets3"
"3,63,0,-1,0,-1"	"Hold_Fast_Cabalist_2"	-1	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	10	-1	-1
"3,63,0,-1,0,-1"	"SM_Templar_Female"	-1	-1	-1	-1	63	-1	-1	1	-1	-1	0	0	1	12	-1	-1
"3,63,0,-1,0,-1"	"SM_Templar_Male"	-1	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	12	-1	-1
"3,63,0,-1,0,-1"	"SM_Commander_Female"	-1	-1	-1	-1	63	-1	-1	1	-1	-1	0	0	1	13	-1	-1
"3,63,0,-1,0,-1"	"SM_Commander_Male"	-1	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	13	-1	-1
"3,63,0,-1,0,-1"	"Hunter Patrol"	805	-1	-1	-1	16	17	1	1	-1	-1	15	15	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Lightning"	1398	-1	-1	-1	16	17	1	1	-1	-1	1	1	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Murmur"	843	599	-1	-1	16	28	34	1	-1	-1	3	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Murmur Ruined Censored"	846	599	-1	-1	16	29	34	1	-1	-1	3	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Oarf"	847	597	-1	-1	16	20	32	1	-1	-1	6	8	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Abigail"	854	603	-1	-1	63	72	82	1	-1	-1	7	22	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Techsmith"	860	-1	-1	-1	16	-1	-1	1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"techsmith_46"	860	-1	-1	-1	16	17	1	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"techsmith_46_birch"	860	-1	-1	-1	16	18	1	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"techsmith_46_eckers"	860	-1	-1	-1	16	19	1	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"techsmith_46_kipp"	860	-1	-1	-1	16	20	1	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"techsmith_46_poe"	860	-1	-1	-1	16	21	1	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Techsmith 101"	860	-1	-1	-1	16	18	-1	1	-1	-1	11	1	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Techsmith 314a"	868	-1	-1	-1	16	20	-1	1	-1	-1	11	1	0	-1	-1	-1
"3,63,0,-1,0,-1"	"George"	875	605	618	-1	16	24	40	51	-1	-1	6	3	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Holborn"	884	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Holborn Female"	884	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Holborn"	886	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Holborn Female"	886	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Richinson"	888	604	622	-1	16	27	39	55	-1	-1	10	9	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Grimm"	897	602	-1	-1	16	19	37	1	-1	-1	12	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Julianne Drew"	900	607	-1	-1	63	65	86	1	-1	-1	5	2	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Brandon Lann"	906	602	617	-1	16	23	37	50	-1	-1	10	4	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Steven Patrick"	916	607	-1	-1	16	24	42	1	-1	-1	6	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Beasley"	923	599	-1	-1	63	64	78	1	-1	-1	6	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Dotter"	923	598	-1	-1	63	69	77	1	-1	-1	9	1	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Ranger"	923	603	-1	-1	16	25	38	1	-1	-1	9	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Mac Kenzie"	936	609	-1	-1	16	26	44	1	-1	-1	7	23	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Covent"	943	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Covent Female"	943	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Covent"	945	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Covent Female"	945	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Holloway"	947	611	634	-1	63	72	89	94	-1	-1	4	15	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Ian"	951	600	625	-1	16	17	35	58	-1	-1	15	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Lucious Aldin"	958	613	629	-1	16	30	48	62	-1	-1	7	3	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Lord Arphaun"	965	618	-1	-1	16	23	1	51	-1	-1	4	4	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Gil"	973	603	-1	-1	16	22	38	1	-1	-1	12	20	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Joanne"	980	610	635	-1	63	66	88	96	-1	-1	17	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Charing"	988	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Charing Female"	988	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Charing"	996	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Charing Female"	996	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Dana"	1004	606	639	-1	63	70	85	100	-1	-1	13	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Emma"	1012	603	641	-1	63	71	82	102	-1	-1	22	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Goodall"	1038	600	633	-1	63	72	79	94	-1	-1	14	13	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Beck"	1021	601	-1	-1	16	25	36	1	-1	-1	7	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Lolli"	1029	605	640	-1	63	73	84	101	-1	-1	12	22	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Hatton"	1044	610	-1	-1	16	19	45	1	-1	-1	6	9	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Arlo"	1049	608	-1	-1	16	27	43	54	-1	-1	15	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Oxford"	1058	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Oxford Female"	1058	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Oxford"	1066	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Oxford Female"	1066	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Rorke"	1087	604	616	-1	16	21	39	56	-1	-1	5	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Clive"	1074	606	622	-1	16	26	41	55	-1	-1	8	8	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Sarah"	1081	602	630	-1	63	67	81	91	-1	-1	5	2	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Stewart"	1092	-1	-1	-1	16	22	1	1	-1	-1	8	4	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Pratch"	1101	598	626	-1	16	18	33	59	-1	-1	11	10	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Tiberius"	1109	611	-1	-1	16	17	46	1	-1	-1	10	10	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Maggie"	1118	604	-1	-1	63	68	83	-1	-1	-1	1	18	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Claire"	1128	601	632	-1	63	65	80	93	-1	-1	4	17	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Temple"	1134	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Temple Female"	1134	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Temple"	1142	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Temple Female"	1142	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Wilde"	1150	607	-1	-1	16	21	42	1	-1	-1	3	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Joy"	1156	599	-1	-1	63	64	78	1	-1	-1	7	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Alay Penn"	1162	597	-1	-1	63	68	76	1	-1	-1	10	17	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Nasim"	1169	602	-1	-1	16	19	37	1	-1	-1	17	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Jons"	1177	-1	-1	-1	16	17	-1	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Connor"	1185	598	-1	-1	16	24	33	1	-1	-1	4	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Monument"	1194	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard Monument Female"	1194	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Monument"	1202	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol Monument Female"	1202	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Emmera"	1241	614	-1	-1	63	74	90	1	-1	-1	6	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Lord Maxim"	1236	597	616	-1	16	22	32	49	-1	-1	9	5	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Aeron Altair"	1242	606	-1	-1	16	25	41	1	-1	-1	9	17	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Tinker"	860	601	-1	-1	16	18	36	1	-1	-1	9	9	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Bodger"	1214	624	-1	-1	16	20	1	57	-1	-1	4	4	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Salus"	1228	608	-1	-1	63	73	87	1	-1	-1	14	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Isaac"	1220	597	-1	-1	16	26	32	1	-1	-1	18	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Gunny"	1258	603	621	-1	16	27	38	54	-1	-1	8	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Ser Sing"	1251	-1	-1	-1	63	68	1	1	-1	-1	6	6	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Rob Someone"	1267	627	-1	-1	16	24	1	60	-1	-1	14	10	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard TBase"	1273	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard TBase Female"	1273	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol TBase"	1281	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol TBase Female"	1281	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Crowe"	1311	-1	-1	-1	63	68	1	1	-1	-1	1	1	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Saul Petrus"	1317	602	-1	-1	16	18	37	1	-1	-1	7	2	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Lyra Darius"	1318	600	-1	-1	63	64	79	1	-1	-1	6	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Tyndall"	1319	599	-1	-1	16	27	34	1	-1	-1	4	5	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Hutch"	1289	605	-1	-1	16	21	40	1	-1	-1	10	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Cornwall"	1293	599	-1	-1	16	25	34	1	-1	-1	4	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Jessica Summerisle"	1301	599	-1	-1	63	65	78	1	-1	-1	6	11	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard liverpool"	1329	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard liverpool Female"	1329	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol liverpool"	1335	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol liverpool Female"	1335	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Broker"	1386	599	-1	-1	16	24	34	1	-1	-1	6	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Spud"	1377	608	-1	-1	16	27	43	54	-1	-1	15	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Russo"	1341	604	-1	-1	16	25	39	1	-1	-1	6	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Sufjan"	1345	612	-1	-1	16	26	47	1	-1	-1	8	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Stamp"	1353	605	-1	-1	16	17	40	1	-1	-1	4	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Angel"	1357	599	-1	-1	63	66	78	1	-1	-1	7	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard StPaul"	1365	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Guard StPaul Female"	1365	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol StPaul"	1371	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Patrol StPaul Female"	1371	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Craftsman"	1394	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"guardian_male"	544	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"guardian_female"	536	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"blademaster_male"	527	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"blademaster_female"	518	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"exemplar_male"	563	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"exemplar_female"	553	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"recon_male"	513	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"recon_female"	508	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"engineer_male"	495	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"engineer_female"	494	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"marksman_male"	502	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"marksman_female"	496	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"metamorph_male"	471	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"metamorph_female"	460	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"evoker_male"	452	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"evoker_female"	444	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"summoner_male"	489	-1	-1	-1	16	17	32	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"summoner_female"	482	-1	-1	-1	63	64	76	1	-1	-1	12	12	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Cabalist Female"	646	-1	-1	-1	-1	-1	-1	1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"RTS Hunter Female"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	11	-1	-1
"3,63,0,-1,0,-1"	"RTS Hunter Male"	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	11	-1	-1
"3,63,0,-1,0,-1"	"Pavel"	1400	619	-1	-1	16	20	1	52	-1	-1	15	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Talimar"	1400	-1	-1	-1	16	21	1	1	-1	-1	11	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Research Assistant"	1400	-1	-1	-1	63	64	1	1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"TownWoman"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	5	6	7
"3,63,0,-1,0,-1"	"TownMan"	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	5	6	7
"3,63,0,-1,0,-1"	"TownWomanVagrant"	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	0	0	1	0	2	-1
"3,63,0,-1,0,-1"	"TownManVagrant"	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	0	0	1	1	3	4
"3,63,0,-1,0,-1"	"tm_pc_fallback"	1410	-1	-1	-1	16	17	32	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"cm_pc_fallback"	1412	-1	-1	-1	16	17	32	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"hm_pc_fallback"	1414	-1	-1	-1	16	17	32	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"tf_pc_fallback"	1410	-1	-1	-1	63	64	76	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"cf_pc_fallback"	1412	-1	-1	-1	63	64	76	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"hf_pc_fallback"	1414	-1	-1	-1	63	64	76	1	-1	-1	7	7	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 1"	-1	-1	-1	-1	16	17	1	1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 2"	-1	-1	-1	-1	16	18	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 3"	-1	-1	-1	-1	16	19	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 4"	-1	-1	-1	-1	16	20	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 5"	-1	-1	-1	-1	16	21	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 6"	-1	-1	-1	-1	16	22	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 7"	-1	-1	-1	-1	16	23	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 8"	-1	-1	-1	-1	16	24	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 9"	-1	-1	-1	-1	16	25	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 10"	-1	-1	-1	-1	16	26	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Head 11"	-1	-1	-1	-1	16	27	-1	-1	-1	-1	0	0	1	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 01"	597	-1	-1	-1	16	-1	32	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 02"	598	-1	-1	-1	16	-1	33	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 03"	599	-1	-1	-1	16	-1	34	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 04"	600	-1	-1	-1	16	-1	35	-1	-1	-1	0	0	0	-1	-1	-1
"3,63,0,-1,0,-1"	"Preview Male Hair 05"	601	-1	-1	-1	16	-1	36	-1	-1	-1	0	0	0	-1	-1	-1
