name	code	undefined1	rowCollection	order	debug	randomAppearanceGroups1	randomAppearanceGroups2	randomAppearanceGroups3	randomAppearanceGroups4	randomAppearanceGroups5	randomAppearanceGroups6	randomAppearanceGroups7	randomAppearanceGroups8	randomAppearanceGroups9	randomAppearanceGroups10	layerSet1	layerSet2	layerSet3	layerSet4	layerSet5	modelGroup	textureSetGroup	blendOp	blendOpTemplar	blendOpCabalist	blendOpHunter	blendOpAdventurer	offHandlayer	undefined2	attachType	attachName	undefined5	attachBone	hasBoneIndex	boneIndex	state
power7_normal_suit	27975	0	7	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	22	24	-1	-1	0	-1	-1	-1	0	0		-1		0	0	-1
	0	0	7	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	40	42	-1	-1	46	-1	-1	-1	0	0		-1		0	0	-1
tech1_normal_suit	17968	0	8	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	23	25	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	8	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	41	43	-1	43	55	46	-1	-1	0	0		-1		0	0	-1
tech4_normal_suit	18224	0	9	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	24	26	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	9	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	42	44	-1	43	54	46	-1	-1	0	0		-1		0	0	-1
tech7_normal_suit	27719	0	10	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	26	28	-1	-1	-1	0	-1	-1	0	0		-1		0	0	-1
	0	0	10	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	43	45	-1	-1	-1	46	-1	-1	0	0		-1		0	0	-1
test_suit	25922	0	14	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	73	62	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	14	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	74	63	-1	43	43	46	-1	-1	0	0		-1		0	0	-1
apprentice_normal_suit	21316	0	15	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	0	0	0	-1	-1	0	0		-1		0	0	-1
	0	0	15	100	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	33	35	-1	47	63	50	-1	-1	0	0		-1		0	0	-1
starter_suit_pants	26436	0	20	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	16	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
arcane1_normal_pants	19010	0	100	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	100	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	100	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
arcane2_normal_pants	19266	0	101	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	101	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	101	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
arcane3_normal_pants	19522	0	102	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	102	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	102	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
arcane4_normal_pants	19778	0	103	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	103	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	103	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
mystic1_normal_pants	26930	0	110	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	110	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	110	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
mystic2_normal_pants	27186	0	111	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	111	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	111	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
mystic3_normal_pants	27442	0	112	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	112	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	112	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
mystic4_normal_pants	27698	0	113	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	113	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	113	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
power1_normal_pants	18736	0	120	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	22	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	120	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	120	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
power2_normal_pants	18992	0	121	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	22	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	121	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	121	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
power3_normal_pants	19248	0	122	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	22	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	122	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	122	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
power4_normal_pants	19504	0	123	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	21	23	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	123	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	123	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
tech1_normal_pants	19760	0	130	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	23	25	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	130	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	130	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
tech2_normal_pants	20016	0	131	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	23	25	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	131	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	131	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
tech3_normal_pants	20272	0	132	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	23	25	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	132	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	132	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
tech4_normal_pants	20528	0	133	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	24	26	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	133	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	13	14	-1	17	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	133	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	14	-1	-1	17	17	-1	-1	0	0		-1		0	0	-1
apprentice1_normal_pants	19524	0	140	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
apprentice2_normal_pants	30532	0	141	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
apprentice3_normal_pants	30788	0	142	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
apprentice4_normal_pants	31044	0	143	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
street_mechanic01_pants	29763	0	145	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	0	28	29	-1	30	30	30	-1	-1	0	0		-1		0	0	-1
street_vagrant01_pants	12868	0	146	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	-1	0	29	31	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
	0	0	146	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	29	31	-1	29	29	29	-1	-1	0	0		-1		0	0	-1
	0	0	146	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	29	31	-1	33	33	33	-1	-1	0	0		-1		0	0	-1
street_apocalyptic01_pants	22341	0	147	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	0	30	32	-1	30	30	30	-1	-1	0	0		-1		0	0	-1
street_veteran01_pants	25925	0	148	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	-1	0	31	33	-1	34	34	34	-1	-1	0	0		-1		0	0	-1
street_proper01_pants	28741	0	149	30	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	32	34	-1	30	30	30	-1	-1	0	0		-1		0	0	-1
starter_suit_belt	26692	0	21	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	16	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
arcane1_normal_belt	20034	0	200	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
arcane2_normal_belt	26178	0	201	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
arcane3_normal_belt	26434	0	202	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
arcane4_normal_belt	20290	0	203	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
mystic1_normal_belt	26162	0	210	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
mystic2_normal_belt	26690	0	211	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
mystic3_normal_belt	26946	0	212	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
mystic4_normal_belt	27954	0	213	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
power1_normal_belt	20784	0	220	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	22	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
power2_normal_belt	27202	0	221	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	20	22	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
power3_normal_belt	27458	0	222	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	21	23	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
power4_normal_belt	21040	0	223	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	21	23	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
tech1_normal_belt	21296	0	230	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	23	25	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
tech2_normal_belt	22597	0	230	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	23	25	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
tech3_normal_belt	27970	0	232	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	24	26	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
tech4_normal_belt	21552	0	233	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	24	26	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
apprentice1_normal_belt	21060	0	240	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
apprentice2_normal_belt	31300	0	241	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
apprentice3_normal_belt	12357	0	242	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
apprentice4_normal_belt	12613	0	243	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
street_mechanic01_belt	30019	0	235	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	0	28	29	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
street_vagrant01_belt	19268	0	236	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	29	31	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
street_apocalyptic01_belt	22085	0	237	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	0	30	32	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
street_veteran01_belt	26181	0	238	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	31	33	-1	17	17	17	-1	-1	0	0		-1		0	0	-1
starter_suit_torso	26948	0	22	10	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	14	16	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
arcane1_normal_torso	20546	0	300	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	300	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	-1	15	-1	-1	-1	0	0		-1		0	0	-1
arcane2_normal_torso	20802	0	301	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	301	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
arcane3_normal_torso	21058	0	302	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	302	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	18	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
arcane4_normal_torso	21314	0	303	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	303	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
arcane4_normal_torso_mirs_anger	21063	0	304	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	40	40	40	-1	-1	0	0		-1		0	0	850
	0	0	304	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	17	19	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
mystic1_normal_torso	28210	0	310	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	310	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15	17	-1	-1	15	-1	-1	-1	0	0		-1		0	0	-1
mystic2_normal_torso	28466	0	311	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	40	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	311	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
mystic3_normal_torso	28722	0	312	51	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	39	-1	-1	-1	-1	0	0		-1		0	0	-1
	0	0	312	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	-1	40	40	-1	-1	0	0		-1		0	0	-1
	0	0	312	40	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	18	20	-1	15	15	15	-1	-1	0	0		-1		0	0	-1
mystic4_normal_torso	28978	0	313	51	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	19	21	-1	39	-1	-1	-1	-1	0	0		-1		0	0	-1
