treasureClass	allowUnitTypes1	allowUnitTypes2	allowUnitTypes3	allowUnitTypes4	allowUnitTypes5	allowUnitTypes6	globalThemeRequired	unknown02	pickTypes	picks	undefined01	undefined02	undefined03	undefined04	undefined05	noDrop	levelBoost	moneyChanceMultiplier	moneyLuckChanceMultiplier	moneyAmountMultiplier	item1m	item1	value1	item2m	item2	value2	item3m	item3	value3	item4m	item4	value4	item5m	item5	value5	item6m	item6	value6	item7m	item7	value7	item8m	item8	value8	spawnCondition	spawnFromMonsterUnitType	spawnFromLevelTheme
pl_misc	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	4	1	110	2	1	111	2	3	528	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
player_boost	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	27	1	2	26	1	2	21	1	2	28	1	2	29	1	2	31	1	1	350	1	0	-1	0	0	-1	-1
player_super_boost	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	4	1	0	3	24	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
master_fiend	0	0	0	0	0	0	-1	0	0	1	0	0	2	0	0	0	0	0	1	0	1	595	1	1	602	2	1	605	1	1	609	2	1	595	1	1	599	1	0	-1	0	0	-1	0	0	-1	-1
imp_melee	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	599	1	1	602	1	1	595	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
riftwarrior_sword	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	674	1	1	639	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
fangsnort_sword	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	605	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
zeder_portvolc	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	868	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_pet	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	595	1	1	602	1	1	626	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_cb	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	291	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_bp	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	843	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_bs	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	840	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_ab	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	442	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_cr	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	329	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_fl	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	279	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_fb	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	362	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_pm	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	403	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_uber	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	362	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
imp_ranged_riftwarrior	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	888	1	1	856	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
templar_guard	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	47	1	3	48	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
templar_fighter	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	47	1	3	48	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tm_npc_weapon	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	897	3	3	49	1	3	50	1	3	51	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tm_npc_armor	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	53	1	3	54	1	3	55	1	3	56	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tm_npc_dual_fb	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	279	1	1	279	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tm_npc_dual_slicer	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	533	1	1	533	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tm_npc_melee	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	609	1	1	602	1	1	605	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tm_npc_shield	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	694	1	1	698	1	1	701	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
t_npc_armor1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1624	1	1	1620	1	1	1616	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
t_npc_armor2	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1638	1	1	1634	1	1	1630	1	1	1622	1	1	1660	1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
t_npc_armor3	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1652	1	1	1648	1	1	1644	1	1	1664	1	1	1660	1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
t_npc_armor4	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1666	1	1	1662	1	1	1658	1	1	1664	1	1	1660	1	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
templar_quest	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	51	1	3	48	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
templar_intro	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	59	1	3	48	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
intro_weapon	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	897	3	3	50	2	3	51	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
templar_rifle_weapon	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	811	1	1	846	1	1	897	1	1	350	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
templar_rifle	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	60	1	3	48	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
minigame	0	0	0	0	0	0	-1	0	0	1	0	0	3	0	0	0	0	1	1	11	3	371	4	2	15	6	3	376	5	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
bodger	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	"710,26,0,26,1,3,33,0"	0	1	0	3	371	28	3	376	28	2	15	5	3	71	1	3	72	1	2	202	10	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
medpack_and_powerpack	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	"710,26,0,26,1,3,33,0"	0	1	0	2	123	1	2	75	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
basic_supplies	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	"710,26,0,26,1,3,33,0"	0	1	0	1	110	1	1	118	1	1	111	1	3	457	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
taskforgereward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	"710,26,2,26,3,3,33,0"	0	1	0	3	371	1	6	-1	0	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
taskurgentcollectcollect	0	0	0	0	0	0	-1	0	0	1	0	0	2	0	0	0	0	0	1	0	2	15	1	3	371	1	2	75	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
taskurgentcollectreward	0	0	0	0	0	0	-1	0	0	1	0	0	3	0	0	0	"710,26,2,26,3,3,33,0"	0	1	0	3	376	1	6	-1	0	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
taskinfestationreward	0	0	0	0	0	0	-1	0	0	1	0	0	3	0	0	0	"710,26,2,26,3,3,33,0"	0	1	0	3	371	1	3	376	1	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
taskdefaultreward	0	0	0	0	0	0	-1	0	0	1	0	0	3	0	0	0	"710,26,2,26,3,3,33,0"	0	1	0	3	371	1	3	376	1	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
tutorial_crate	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tutorial_firstdrop	0	0	0	0	0	0	-1	0	1	1	0	0	1	0	0	0	0	0	1	0	3	376	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tutorial_notes	0	0	0	0	0	0	-1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	17	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
tutorial_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
joey_leg	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	23	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
joey_leg_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	735	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
hellrift_bomb	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	18	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
gatekeeper	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	3	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
blur	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	1	1	20	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
time_device_pda	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	21	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
time_device_templar	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	16	1	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
lost_templar	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	602	1	1	701	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
lost_reward_templar	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	40	1	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
lost_reward_other	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	16	1	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
dark_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	16	2	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	2	-1	-1
war_cabalist	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	95	2	3	96	2	3	97	3	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
war_cabalist_2hd	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	846	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
war_cabalist_1hd	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	843	2	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
war_cabalist_focus	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	753	1	1	862	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
war_scroll	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	22	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
war_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	110	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
ferry_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	24	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
fawkes_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	25	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
battle_templar	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	103	1	1	690	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
battle_templar_swords	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	602	1	1	626	1	1	602	1	1	609	1	1	605	1	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
battle_cabalist	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	753	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
battle_hunter	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	3	106	1	3	107	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
battle_hunter_2hd	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	350	1	1	359	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
battle_hunter_dual	0	0	0	0	0	0	-1	0	0	1	0	0	2	0	0	0	0	0	1	0	1	362	1	1	343	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
rts_hunter_1	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	350	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
rts_hunter_2	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	384	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
rts_hunter_3	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	350	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
rts_hunter_4	0	0	0	0	0	0	-1	0	0	1	0	0	2	0	0	0	0	0	1	0	1	343	1	1	343	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
uber314_templar	0	0	0	0	0	0	-1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	595	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
uber314_hunter	0	0	0	0	0	0	-1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	313	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
uber314_cabalist	0	0	0	0	0	0	-1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	811	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
battle_turret	0	0	0	0	0	0	-1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	322	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
death_tech_body	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	736	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
death_reward	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	16	2	4	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	4	-1	-1
oracle_head	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	28	1	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1
