"WARDROBE_TEXTURESET"	"texture_set"	"appearanceGroupFolder"	"appearanceGroup1"	"appearanceGroup2"	"folder"	"diffuse"	"normal"	"specular"	"lightMap"	"colorMask"	"undefined1"	"undefinedBool1"	"undefinedBool2"	"undefinedBool3"	"undefinedBool4"	"undefinedBool5"	"undefinedInt1"	"undefinedInt2"	"undefinedInt3"	"undefinedInt4"	"undefinedInt5"	"undefinedInt6"	"undefinedInt7"	"undefinedInt8"	"undefinedInt9"	"undefinedInt10"	"sizeDiffuseW"	"sizeDiffuseH"	"sizeNormalW"	"sizeNormalH"	"sizeSpecularW"	"sizeSpecularH"	"sizeLightMapW"	"sizeLightMapH"	"sizeColorMaskW"	"sizeColorMaskH"	"undefined2"	"undefined2a"
"3,60,0,-1,0,-1"	12	8	8	-1	"focus_a"	"FocusItem_A_diffuse"	"FocusItem_A_normal"	"FocusItem_A_specular"	"FocusItem_A_glow"		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	2	8	8	-1	"apprentice"	"cf_apprentice_diffuse"	"cf_apprentice_normal"	"cf_apprentice_specular"	"cf_apprentice_glow"	"cf_apprentice_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	3	8	8	-1	"arcane_light"	"cf_arcane_light_diffuse"	"cf_arcane_light_normal"	"cf_arcane_light_specular"		"cf_arcane_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	2	6	6	-1	"apprentice"	"hm_apprentice_diffuse"	"hm_apprentice_normal"	"hm_apprentice_specular"		"hm_apprentice_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	4	6	6	-1	"arcane_heavy"	"hm_arcane_heavy_diffuse"	"hm_arcane_heavy_normal"	"hm_arcane_heavy_specular"		"hm_arcane_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	3	6	6	-1	"arcane_light"	"hm_arcane_light_diffuse"	"hm_arcane_light_normal"	"hm_arcane_light_specular"		"hm_arcane_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	6	6	6	-1	"mystic_heavy"	"hm_mystic_heavy_diffuse"	"hm_mystic_heavy_normal"	"hm_mystic_heavy_specular"	"hm_mystic_heavy_sillum"	"hm_mystic_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	5	6	6	-1	"mystic_light"	"hm_mystic_light_diffuse"	"hm_mystic_light_normal"	"hm_mystic_light_specular"	"hm_mystic_light_sillum"	"hm_mystic_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	10	6	6	-1	"tech_heavy"	"hm_tech_heavy_diffuse"	"hm_tech_heavy_normal"	"hm_tech_heavy_specular"		"hm_tech_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	9	6	6	-1	"tech_light"	"hm_tech_light_diffuse"	"hm_tech_light_normal"	"hm_tech_light_specular"		"hm_tech_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	2	9	9	-1	"apprentice"	"hf_apprentice_diffuse"	"hf_apprentice_normal"	"hf_apprentice_specular"		"hf_apprentice_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	4	9	9	-1	"arcane_heavy"	"hf_arcane_heavy_diffuse"	"hf_arcane_heavy_normal"	"hf_arcane_heavy_specular"		"hf_arcane_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	3	9	9	-1	"arcane_light"	"hf_arcane_light_diffuse"	"hf_arcane_light_normal"	"hf_arcane_light_specular"		"hf_arcane_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	6	9	9	-1	"mystic_heavy"	"hf_mystic_heavy_diffuse"	"hf_mystic_heavy_normal"	"hf_mystic_heavy_specular"	"hf_mystic_heavy_sillum"	"hf_mystic_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	5	9	9	-1	"mystic_light"	"hf_mystic_light_diffuse"	"hf_mystic_light_normal"	"hf_mystic_light_specular"	"hf_mystic_light_sillum"	"hf_mystic_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	10	9	9	-1	"tech_heavy"	"hf_tech_heavy_diffuse"	"hf_tech_heavy_normal"	"hf_tech_heavy_specular"		"hf_tech_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	9	9	9	-1	"tech_light"	"hf_tech_light_diffuse"	"hf_tech_light_normal"	"hf_tech_light_specular"		"hf_tech_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	11	6	2	-1	"arcane_heavy"	"hm_arcane_heavy_diffuse"	"hm_arcane_heavy_normal"	"hm_arcane_heavy_specular"		"hm_arcane_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	11	9	3	-1	"arcane_heavy"	"hf_arcane_heavy_diffuse"	"hf_arcane_heavy_normal"	"hf_arcane_heavy_specular"		"hf_arcane_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	14	10	10	-1	"skinsuit"	"tm_skinsuit_body_diffuse"	"tm_skinsuit_body_normal"	"tm_skinsuit_body_specular"	"tm_skinsuit_body_Sillum"		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	15	10	10	-1	"skinsuit"	"tm_skinsuit_body_diffuse"	"tm_skinsuit_body_normal"	"tm_skinsuit_body_specular"	"tm_skinsuit_body_Sillum"		0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	16	10	10	-1	"starter"	"tm_street_body_diffuse"	"tm_street_body_normal"	"tm_street_body_specular"	"tm_street_body_sillum"	"tm_street_body_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	17	10	10	-1	"apprentice"	"tm_apprentice_diffuse"	"tm_apprentice_normal"	"tm_apprentice_specular"	"tm_apprentice_sillum"	"tm_apprentice_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	18	10	10	-1	"arcane_light"	"tm_arcane_light_diffuse"	"tm_arcane_light_normal"	"tm_arcane_light_specular"	"tm_arcane_light_sillum"	"tm_arcane_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	19	10	10	-1	"arcane_heavy"	"tm_arcane_heavy_diffuse"	"tm_arcane_heavy_normal"	"tm_arcane_heavy_specular"	"tm_arcane_heavy_sillum"	"tm_arcane_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	22	10	10	-1	"power_light"	"tm_power_light_diffuse"	"tm_power_light_normal"	"tm_power_light_specular"	"tm_power_light_sillum"	"tm_power_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	23	10	10	-1	"power_heavy"	"tm_power_heavy_diffuse"	"tm_power_heavy_normal"	"tm_power_heavy_specular"	"tm_power_heavy_sillum"	"tm_power_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	25	10	10	-1	"tech_light"	"tm_tech_light_diffuse"	"tm_tech_light_normal"	"tm_tech_light_specular"		"TM_Tech_Light_Color_Mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	26	10	10	-1	"tech_heavy"	"tm_tech_heavy_diffuse"	"tm_tech_heavy_normal"	"tm_tech_heavy_specular"	"tm_tech_heavy_sillum"	"tm_tech_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	27	10	10	-1	"tech_heavy"	"tm_tech_heavy_dmg_dif"	"tm_tech_heavy_dmg_norm"	"tm_tech_heavy_dmg_spec"	"tm_tech_heavy_sillum"	"tm_tech_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	35	10	10	-1	"apprentice"	"tm_apprentice_helm_diffuse"	"tm_apprentice_helm_normal"	"tm_apprentice_helm_specular"	"tm_apprentice_helm_sillum"	"tm_apprentice_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,62,0,-1,0,-1"	36	10	10	-1	"arcane_light"	"tm_arcane_light_helm_diffuse"	"tm_arcane_light_helm_normal"	"tm_arcane_light_helm_spec"		"tm_arcane_light_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,60,0,-1,0,-1"	37	10	10	-1	"arcane_heavy"	"tm_arcane_heavy_helm_diffuse"	"tm_arcane_heavy_helm_normal"	"tm_arcane_heavy_helm_specular"	"tm_arcane_heavy_helm_Sillum"	"tm_arcane_heavy_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	40	10	10	-1	"power_light"	"tm_power_light_helm_diffuse"	"tm_power_light_helm_normal"	"tm_power_light_helm_specular"	"tm_power_light_helm_sillum"	"tm_power_light_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,60,0,-1,0,-1"	41	10	10	-1	"power_heavy"	"tm_power_heavy_helm_diffuse"	"tm_power_heavy_helm_normal"	"tm_power_heavy_helm_specular"	"tm_power_heavy_helm_sillum"	"tm_power_heavy_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,62,0,-1,0,-1"	43	10	10	-1	"tech_light"	"tm_tech_light_helm_diffuse"	"tm_tech_light_helm_normal"	"tm_tech_light_helm_specular"	"tm_tech_light_helm_sillum"	"tm_tech_light_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,60,0,-1,0,-1"	44	10	10	-1	"tech_heavy"	"tm_tech_heavy_helm_diffuse"	"tm_tech_heavy_helm_normal"	"tm_tech_heavy_helm_specular"	"tm_tech_heavy_helm_sillum"	"tm_tech_heavy_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,48,10,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,10,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	14	14	14	-1	"undersuit"	"tf_undersuit_body_diffuse"	"tf_undersuit_body_normal"	"tf_undersuit_body_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	15	14	14	-1	"undersuit"	"tf_undersuit_body_diffuse"	"tf_undersuit_body_normal"	"tf_undersuit_body_specular"			0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	16	14	14	-1	"starter"	"tf_street_body_diffuse"	"tf_street_body_normal"	"tf_street_body_specular"	"tf_street_body_sillum"	"tf_street_body_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	17	14	14	-1	"apprentice"	"tf_apprentice_diffuse"	"tf_apprentice_normal"	"tf_apprentice_specular"	"tf_apprentice_sillum"	"tf_apprentice_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	18	14	14	-1	"arcane_light"	"tf_arcane_light_diffuse"	"tf_arcane_light_normal"	"tf_arcane_light_specular"	"tf_arcane_light_glow"	"tf_arcane_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	19	14	14	-1	"arcane_heavy"	"tf_arcane_heavy_diffuse"	"tf_arcane_heavy_normal"	"tf_arcane_heavy_specular"	"tf_arcane_heavy_glow"	"tf_arcane_heavy_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,62,0,-1,0,-1"	22	14	14	-1	"power_light"	"tf_power_light_diffuse"	"tf_power_light_normal"	"tf_power_light_specular"	"tf_power_light_sillum"	"tf_power_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	23	14	14	-1	"power_heavy"	"tf_power_heavy_diffuse"	"tf_power_heavy_normal"	"tf_power_heavy_specular"	"tf_power_heavy_sillum"	"tf_power_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	25	14	14	-1	"tech_light"	"tf_tech_light_diffuse"	"tf_tech_light_normal"	"tf_tech_light_specular"	"tf_tech_light_selfIllum"	"tf_tech_light_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,60,0,-1,0,-1"	26	14	14	-1	"tech_heavy"	"tf_tech_heavy_diffuse"	"tf_tech_heavy_normal"	"tf_tech_heavy_specular"	"tf_tech_heavy_glow"	"tf_tech_heavy_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0	0
"3,62,0,-1,0,-1"	35	14	14	-1	"apprentice"	"tf_apprentice_helm_diffuse"	"tf_apprentice_helm_normal"	"tf_apprentice_helm_specular"	"tf_apprentice_helm_sillum"	"tf_apprentice_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,62,0,-1,0,-1"	36	14	14	-1	"arcane_light"	"tf_arcane_light_helm_diffuse"	"tf_arcane_light_helm_normal"	"tf_arcane_light_helm_spec"		"TF_arcane_light_helm_Color_Mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,60,0,-1,0,-1"	37	14	14	-1	"arcane_heavy"	"tf_arcane_heavy_helm_diffuse"	"tf_arcane_heavy_helm_normal"	"tf_arcane_heavy_helm_specular"	"tf_arcane_heavy_helm_sillum"	"tf_arcane_heavy_helm_color_mask"	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	512	512	512	512	512	512	512	512	512	512	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
"3,48,100,-1,0,-1"	0	-1	0	0							0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
