LEVEL_DRLGS	name	drlgRuleSet	drlgDisplayName	undefined1	style	theme0	theme1	theme2	theme3	theme4	theme5	theme6	theme7	theme8	theme9	theme10	theme11	theme12	theme13	theme14	theme15	theme16	theme17	theme18	theme19	weatherSet	environment	populateAllVisible	overrideChampionChance	championZoneRadius	markerSpawnChance	monsterRoomDensity	roomMonsterChance	critterRoomDensity	critterSpawnClass	maxTreasureDropRadius	randomState	randomStateRateMin	randomStateRateMax	randomStateRateDuration	havokFx	forceDrawAllRooms	isOutDoors
"3,60,0,-1,0,-1"	IndustrialRooms	DRLG_IndustrialRooms	-1	4	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	1	-1	150	0	1.4	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	IndustrialHalls	DRLG_IndustrialHalls	-1	4	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	1	-1	150	0	1.66	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	IndustrialTubes	DRLG_IndustrialTubes	-1	2	Rooms	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1.4	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	CannonStreetRail	DRLG CannonStreetRail	-1	2	Rooms	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	2	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	Exodus	DRLG_Exodus	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	0.67	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniTubesHole	DRLG_MiniTubesHole	-1	2	Tubes	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	1	-1	150	0	1.5	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniSewersAdventure	DRLG_MiniSewersAdventureLarge	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	1	-1	0	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniSewersAdventureChampion	DRLG_MiniSewersAdventureLarge	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	1	0.35	0	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniSewersAdventureSmall	DRLG_MiniSewersAdventureSmall	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniSewers	DRLG_MiniSewers	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	1	-1	150	0	1.4	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniSewersB	DRLG_MiniSewersB	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	1	-1	150	0	0.87	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniSewersC	DRLG_MiniSewersC	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	1	-1	150	0	1.3	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	MiniBigSewers	DRLG MiniBigSewers	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	50	1	-1	150	0	1.4	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	DeathsSewers	DRLG_DeathsSewers	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	1	-1	150	0	1.3	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	DeathsCity	DRLG_DeathsCity	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	52	0	-1	150	0	0.47	0	0	-1	50	-1	0	0	0	1	0	1
"3,62,0,-1,0,-1"	MiniCity	DRLG_MiniCity	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	53	0	-1	150	0	0.7	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	MiniCityRare	DRLG_MiniCityRare	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	52	0	-1	150	0	0.7	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	AlleyCity	DRLG_AlleyCity	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	54	0	-1	150	0	1.2	0	0	-1	50	-1	0	0	0	1	0	1
"3,62,0,-1,0,-1"	PedMall	DRLG_PedMall	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	54	0	-1	150	0	1.9	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	ParkCity	DRLG_ParkCity	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	55	0	-1	150	0	0.65	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	BoulevardCity	DRLG_BoulevardCity	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	56	0	-1	150	0	0.72	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	ChocolatePark	DRLG_ChocolatePark	-1	16	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	59	0	-1	150	0	0.4	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	Park	DRLG_Park	-1	16	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	59	0	-1	150	0	0.4	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	PiccadillyBookstores	DRLG_PiccadillyBookstores	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	0	-1	150	0	0.47	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	CGMarket	DRLG_CGMarket	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	0	-1	150	0	0.55	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	BritishMuseum	DRLG_BritishMuseum	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	0	-1	150	0	0.99	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	RTSCity	DRLG_RTSCity	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	0	-1	150	0	0.47	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	BargeHouse	DRLG BargeHouse	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	57	0	-1	150	0	0.66	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	PuddleDock	DRLG PuddleDock	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	53	0	-1	150	0	0.7	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	AngelPassage	DRLG Angel Passage	-1	1	City	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	53	0	-1	150	0	1.2	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	BishopsCourt	DRLG BishopsCourt	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	57	0	-1	150	0	0.85	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	Aldgate	DRLG Aldgate	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	52	0	-1	150	0	0.7	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	CrownOfficeRow	DRLG Crown Office Row	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	53	0	-1	150	0	0.7	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	TemplarBase	DRLG_TemplarBase	-1	35	Station	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	0	-1	150	0	0.47	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	BigGundown	DRLG_BigGundown	-1	1	City	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	0	-1	150	0	0.23	0	0	-1	50	-1	0	0	0	1	1	1
"3,63,0,-1,0,-1"	CharacterCreation	DRLG_CharacterCreation	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	0	-1	150	0	0	0	0	-1	50	-1	0	0	0	0	0	1
"3,48,100,-1,0,-1"			-1	-1	Station	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0.1	0	0	0	-1	50	-1	0	0	0	0	0	0
"3,60,0,-1,0,-1"	RuinCity	DRLG_RuinCity	8622	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	53	0	-1	150	0	0.47	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HavokDemo	DRLG_HavokDemo	8594	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	0	-1	150	0	0	0	0	-1	50	246	4000	8000	2400	1	0	1
"3,60,0,-1,0,-1"	NVIDIADemo	DRLG_NVIDIADemo	8623	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	0	-1	150	0	0.4	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	River	DRLG_River	-1	24	River	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	64	1	-1	150	0	0.67	0	0	3	50	246	5000	10000	2400	1	0	1
"3,60,0,-1,0,-1"	Millennium Battle	DRLG Millennium Battle	-1	24	River	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	64	1	-1	150	0	0.85	0	0	3	50	246	5000	10000	2400	1	0	1
"3,60,0,-1,0,-1"	Sewers	DRLG_Sewers	-1	8	Sewers	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	49	1	-1	150	0	0	0	0	3	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	HellTowerFawkes	DRLG_HellTowerFawkes	-1	22	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	1	-1	150	0	0.25	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellTower	DRLG_HellTower	-1	22	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	1	-1	150	0	0.25	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellTowerHellPortal	DRLG_HellTowerHellPortal	-1	22	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	1	-1	150	0	0.5	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellTowerHellPortalPrevious	DRLG_HellTowerHellPortalPrevious	-1	22	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	1	-1	150	0	0.5	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellTowerAdventure	DRLG_HellTowerAdventure	-1	22	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	1	-1	150	0	0.5	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellDungeon	DRLG_HellDungeon	-1	23	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	1	-1	150	0	0.66	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellDungeonAdventure	DRLG_HellDungeonAdventure	-1	23	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	Hell	DRLG_Hell	-1	54		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	1	-1	150	0	0.49	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellriftRescue	DRLG_HellriftRescue	-1	22	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	1	-1	150	0	0.75	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	HellPiccadilly	DRLG_HellPiccadilly	-1	23	Hellrift	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	1	-1	150	0	0.6	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	TruthKnowledge	DRLG_TruthRoomKnowledge	8654	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthKnowledgeB	DRLG_TruthRoomKnowledgeB	8655	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthLeadership	DRLG_TruthRoomLeadership	8656	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthLeadershipB	DRLG_TruthRoomLeadershipB	8657	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthBeauty	DRLG_TruthRoomBeauty	8658	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthBeautyB	DRLG_TruthRoomBeautyB	8659	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthHope	DRLG_TruthRoomHope	8660	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthHopeB	DRLG_TruthRoomHopeB	8661	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthBrotherhood	DRLG_TruthRoomBrotherhood	8662	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	TruthBrotherhoodB	DRLG_TruthRoomBrotherhoodB	8663	29		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73	1	-1	150	0	1	0	0	-1	50	-1	0	0	0	1	0	0
"3,62,0,-1,0,-1"	TownPortal	DRLG_TownPortal	8633	32		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91	1	-1	150	0	0.17	0	0	-1	50	-1	0	0	0	1	0	0
"3,1,0,-1,0,-1"	TubeB	DRLG_TubeB	-1	5		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	0	-1	150	0	0	0	0	-1	50	-1	0	0	0	1	0	0
"3,60,0,-1,0,-1"	PerformanceTestLevel	DRLG_PerformanceTestLevel	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	0	-1	150	0	0.67	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	PerformanceTestLevelA	DRLG_PerformanceTestLevelA	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	0	-1	150	0	0.67	0	0	-1	50	-1	0	0	0	1	0	1
"3,60,0,-1,0,-1"	PerformanceTestLevelB	DRLG_PerformanceTestLevelB	-1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	0	-1	150	0	0.67	0	0	-1	50	-1	0	0	0	1	0	1
