name	code	style	nameStringKey	subscriberOnly	startingQuestCheat	closeOnComplete	repeatable	repeatRateInSeconds	skipActivateFanfare	skipCompleteFanfare	endOfActNumber	autoTrackOnActivate	autoActivateLevel	onlyOneDifficulty	currentlyUnavailable	minLevelPreReq	maxLevelPreReq	factionTypePreReq	factionAmountPreReq	startingItemsTreasureClass	removeStartingItemsOnComplete	offerReward	castGiver	levelStoryQuestStartsIn	castRewarder	levelRewarderNpc	giverItem	giverItemDropRate	level	levelNightmare	experienceMultiplier	moneyMultiplier	statPoints	skillPoints	factionTypeReward	factionAmountReward	InitFunction	FreeFunction	onEnterGameFunction	warpToOpenOnActivate	warpToOpenOnComplete	versionFunction	beatGameOnComplete	weight	radius	height	flatZTolerance	layoutAdventure	objectAdventure	treasureRoomClass	template	descriptionDialog	inCompleteDialog	completeDialog	rewardDialog	acceptButtonText	objectiveMonster	objectiveUnitType	objectiveObject	objectiveCount	collectDropRate	collectItem	explorePercent	spawnCount	nameOverrideStringKey	nameInLogOverrideStringKey	logOverrideState	logOverrideString	subLevelTypeTruthOld	subLevelTypeTruthNew	questStateAdvanceToAtSubLevelTrut	monsterBoss	globalthemeRequired	
FirstSample	22338	0	11125	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	22	41	23	-1	-1	1	16	39	2	40	0	0	-1	0	FirstSampleInit	FirstSampleFree		30	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
WormHunt	22594	0	11139	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	23	41	22	-1	-1	1	16	39	5	25	0	0	-1	0	WormHuntInit	WormHuntFree		31	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
BigGundown	22850	0	11157	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	22	41	22	-1	-1	1	17	40	0	0	0	0	-1	0	BigGundownInit	BigGundownFree		32	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
SecondSample	23106	0	11169	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	22	41	23	-1	-1	1	17	40	2	40	0	0	-1	0	SecondSampleInit	SecondSampleFree		33	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Cleanup	24898	0	11186	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	22	41	-1	-1	-1	1	18	41	0	0	0	0	-1	0	CleanupInit	CleanupFree		34	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Truth_C	25154	0	11197	0	0	1	0	0	0	0	3	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	41	24	-1	-1	1	19	42	14	0	0	0	-1	0	Truth_CInit	Truth_CFree		-1	43		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	6	7	160	449	-1
HelpRescue	27970	0	11218	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	24	58	25	-1	-1	1	19	43	6	20	0	0	-1	0	HelpRescueInit	HelpRescueFree		-1	37		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
RiftScan	28226	0	11246	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	25	42	25	-1	-1	1	20	44	7	15	0	0	-1	0	RiftScanInit	RiftScanFree		38	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
SecretMessages	28482	0	11258	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	25	42	19	-1	-1	1	21	45	0	0	0	0	-1	0	SecretMessagesInit	SecretMessagesFree		39	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Lure	28738	0	11279	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	24	58	24	-1	-1	1	22	46	0	0	0	0	-1	0	LureInit	LureFree		45	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
PortalBoost	28994	0	11292	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	24	58	24	-1	-1	1	23	47	0	0	0	0	-1	0	PortalBoostInit	PortalBoostFree		46	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	0.75	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TrainFix	29250	0	11313	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	24	58	-1	-1	-1	1	24	48	0	0	0	0	-1	0	TrainFixInit	TrainFixFree	TrainFixOnEnterGame	47	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
RescueRide	29506	0	11331	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	81	-1	-1	-1	1	24	50	0	0	0	0	-1	0	RescueRideInit	RescueRideFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Truth_D	29762	0	11349	0	0	1	0	0	0	0	4	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	82	-1	-1	-1	1	25	51	16	0	0	0	-1	0	Truth_DInit	Truth_DFree		-1	53		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	8	9	205	-1	-1
Triage	30274	0	11365	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	42	26	-1	-1	1	25	49	5	25	0	0	-1	0	TriageInit	TriageFree		40	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Deep	30530	0	11389	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	19	42	26	-1	-1	1	27	50	3	35	0	0	-1	0	DeepInit	DeepFree		50	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TheSigil	30786	0	11411	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	26	87	26	-1	-1	1	27	53	0	0	0	0	-1	0	TheSigilInit	TheSigilFree		61	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TestKnowledge	30018	0	11419	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	28	104	-1	-1	-1	1	28	57	5	0	0	0	-1	0	TestKnowledgeInit	TestKnowledgeFree		-1	72		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TestLeadership	31042	0	11432	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	29	106	-1	-1	-1	1	28	57	5	0	0	0	-1	0	TestLeadershipInit	TestLeadershipFree		-1	73		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TestBeauty	31298	0	11447	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	30	108	-1	-1	-1	1	28	57	5	0	0	0	-1	0	TestBeautyInit	TestBeautyFree		-1	74		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TestFellowship	16707	0	11461	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	31	110	-1	-1	-1	1	29	58	5	0	0	0	-1	0	TestFellowshipInit	TestFellowshipFree		-1	75		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TestHope	16963	0	11478	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	27	112	-1	-1	-1	1	29	58	5	0	0	0	-1	0	TestHopeInit	TestHopeFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Truth_E	17475	0	10710	0	0	1	0	0	0	0	5	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	112	-1	-1	-1	1	29	58	20	0	0	0	-1	0	Truth_EInit	Truth_EFree		-1	60		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	10	11	239	-1	-1
Hellgate	17219	0	11506	0	0	1	0	0	0	0	0	1	-1	0	0	1	-1	-1	0	-1	0	-1	-1	115	-1	-1	-1	1	30	60	0	0	0	0	-1	0	HellgateInit	HellgateFree		-1	-1		1	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniRoomAdv	22337	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		238	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniRoomAdvChampion	22593	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		238	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniRoomAdvTreasure	21569	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		238	250	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniSewerAdv	22849	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		243	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniSewerAdvChampion	23105	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		243	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniSewerAdvTreasure	24897	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		243	250	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniCavesAdv	17987	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		244	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniCavesAdvChampion	18243	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		244	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
MiniCavesAdvTreasure	18499	4	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	1	1	30	0	0	0	0	-1	0				-1	-1		0	1	1.6	3	0.01		244	250	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Lost	20289	3	11537	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	9	4	-1	5	-1	-1	1	4	34	0.2	1	0	0	-1	0				-1	-1		0	0	0	0	0		-1	-1	5	242	-1	243	288	1148	-1	-1	-1	1	1	-1	0	0	9558	9559	-1	-1	0	0	-1	-1	-1
TimeOrb	20545	3	11542	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	11	6	-1	7	-1	-1	1	6	36	0.2	1	0	0	-1	0	TimeOrbInit	TimeOrbFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Dark	20801	3	11563	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	6	8	-1	9	-1	-1	1	8	38	0.2	1	0	0	-1	0	DarkInit	DarkFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
War	21057	3	11577	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	12	10	-1	11	-1	-1	1	10	40	0.2	1	0	0	-1	0	WarInit	WarFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Death	21313	3	11590	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	14	12	-1	13	-1	-1	1	12	42	0.2	1	0	0	-1	0	DeathInit	DeathFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Joey	20033	1	11524	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	8	2	-1	3	1	-1	1	2	31	0.2	0.2	0	0	3	100	JoeyInit	JoeyFree		-1	-1		0	0	0	0	0		-1	-1	-1	-1	-1	-1	-1	1148	-1	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
JoeySecret	27457	1	11703	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	35	-1	35	1	-1	1	3	32	5	0	1	0	3	100				-1	-1		0	0	0	0	0		-1	-1	2	301	302	303	-1	1148	114	-1	-1	12	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Dawn	27969	1	11709	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	23	36	-1	36	1	-1	1	1	30	2	10	0	0	3	100				-1	-1		0	0	0	0	0		-1	-1	2	304	305	306	307	1148	519	132	-1	10	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Day	28225	1	11715	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	24	36	-1	36	1	-1	1	2	31	2	10	0	0	3	100				-1	-1		0	0	0	0	0		-1	-1	2	308	309	310	311	1148	540	-1	-1	3	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Night	28481	1	11721	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	25	36	-1	36	1	-1	1	3	32	2	10	1	0	3	100				-1	-1		0	0	0	0	0		-1	-1	0	312	313	314	315	1148	593	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Fangsnort	29505	1	11661	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	38	-1	17	7	-1	1	4	32	5	25	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	1	320	321	322	-1	1148	226	-1	-1	1	1	69	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
BagoBones	29761	1	11660	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	38	-1	17	7	-1	1	5	33	5	25	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	1	320	321	322	-1	1148	453	-1	-1	1	1	70	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Bigger	27201	1	11697	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	22	33	-1	33	7	-1	1	4	32	2	12.5	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	0	297	298	299	300	1148	174	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
Panic	26689	1	11691	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	20	33	-1	33	7	-1	1	5	33	2	4	1	0	4	100				-1	-1		0	0	0	0	0		-1	-1	2	289	290	291	292	1148	359	-1	-1	8	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
OnTheStreets	20547	1	11745	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	63	33	-1	33	7	-1	1	8	36	3	5	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	3	499	500	501	502	1148	-1	-1	-1	1	1	-1	0.9	0	-1	-1	-1	-1	0	0	-1	-1	-1
TemplarClassCGS1	30529	1	11727	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	40	-1	40	7	-1	1	4	32	2	0	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	2	331	332	333	334	1148	224	-1	-1	16	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
SweetDreams	20803	1	11751	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	64	40	-1	40	7	-1	1	7	35	1	10	1	0	4	100				-1	-1		0	0	0	0	0		-1	-1	2	503	504	505	506	1148	441	-1	-1	9	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
TrustMeToTrustYou	21059	1	11757	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	192	1	65	40	-1	40	7	-1	1	8	36	3	10	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	7	507	508	509	510	1148	452	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
CabalistClassCGS1	30273	1	11739	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	-1	0	-1	0	-1	41	-1	41	7	-1	1	4	32	2	0	0	0	4	100				-1	-1		0	0	0	0	0		-1	-1	0	327	328	329	330	1148	460	-1	-1	1	1	-1	0	0	-1	-1	-1	-1	0	0	-1	-1	-1
