"LOADING_TIPS"	"LOADING_TIPS"	"stringKey"	"weight"	"condition"	"dontUseWithoutAGame"
"3,63,0,-1,0,-1"	"SubscriberThanks01"	8817	0	"711,3,154,0"	1
"3,63,0,-1,0,-1"	"SubscriberFeature01"	8818	0	"711,3,154,26,0,470,516,56,666,0,26,15,437,538,0"	0
"3,63,0,-1,0,-1"	"SubscriberFeature02"	8819	0	"711,3,154,26,0,470,516,56,666,0,26,15,437,538,0"	0
"3,63,0,-1,0,-1"	"SubscriberFeature03"	8820	0	"711,3,154,26,0,470,516,56,666,0,26,15,437,538,0"	0
"3,63,0,-1,0,-1"	"SubscriberFeature04"	8821	0	"711,3,154,26,0,470,516,56,666,0,26,15,437,538,0"	0
"3,63,0,-1,0,-1"	"Phasing"	8721	1	"666,0,26,4,437,516,52,666,0,26,20,426,538,0"	0
"3,63,0,-1,0,-1"	"Poison"	8722	1	"666,0,26,8,437,516,52,666,0,26,25,426,538,0"	0
"3,63,0,-1,0,-1"	"Ignite"	8723	1	"666,0,26,10,437,516,52,666,0,26,30,426,538,0"	0
"3,63,0,-1,0,-1"	"HighLevel"	8724	1	"666,0,26,19,437,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice01"	8731	5	"711,26,266,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice02"	8732	5	"711,26,266,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice03"	8733	5	"711,26,266,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice04"	8734	5	"711,26,266,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice05"	8735	5	"711,26,266,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice06"	8736	5	"711,26,266,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice07"	8737	5	"711,26,266,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"EvokerAdvice08"	8738	5	"711,26,266,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice01"	8739	5	"711,26,265,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice02"	8740	5	"711,26,265,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice03"	8741	5	"711,26,265,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice04"	8742	5	"711,26,265,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice05"	8743	5	"711,26,265,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice06"	8744	5	"711,26,265,3,153,516,52,666,0,26,29,437,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice07"	8745	5	"711,26,265,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"SummonerAdvice08"	8746	5	"711,26,265,3,153,516,52,666,0,26,15,426,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice01"	8747	5	"711,26,248,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice02"	8748	5	"711,26,248,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice03"	8749	5	"711,26,248,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice04"	8750	5	"711,26,248,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice05"	8751	5	"711,26,248,3,153,516,52,666,0,26,9,437,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice06"	8752	5	"711,26,248,3,153,516,52,666,0,26,4,437,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice07"	8753	5	"711,26,248,3,153,516,52,666,0,26,9,437,538,0"	1
"3,63,0,-1,0,-1"	"BlademasterAdvice08"	8754	5	"711,26,248,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice01"	8757	5	"711,26,247,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice02"	8758	5	"711,26,247,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice03"	8759	5	"711,26,247,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice04"	8760	5	"711,26,247,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice05"	8761	5	"711,26,247,3,153,516,52,666,0,26,9,437,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice06"	8762	5	"711,26,247,3,153,516,52,666,0,26,5,437,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice07"	8763	5	"711,26,247,3,153,516,52,666,0,26,14,437,538,0"	1
"3,63,0,-1,0,-1"	"GuardianAdvice08"	8764	5	"711,26,247,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice01"	8765	5	"711,26,257,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice02"	8766	5	"711,26,257,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice03"	8767	5	"711,26,257,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice04"	8768	5	"711,26,257,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice05"	8769	5	"711,26,257,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice06"	8770	5	"711,26,257,3,153,516,52,666,0,26,5,437,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice07"	8771	5	"711,26,257,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"MarksmanAdvice08"	8772	5	"711,26,257,3,153,516,52,666,0,26,10,437,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice01"	8773	5	"711,26,256,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice02"	8774	5	"711,26,256,3,153,516,52,666,0,26,7,426,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice03"	8775	5	"711,26,256,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice04"	8776	5	"711,26,256,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice05"	8777	5	"711,26,256,3,153,516,52,666,0,26,9,437,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice06"	8778	5	"711,26,256,3,153,516,52,666,0,26,9,426,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice07"	8779	5	"711,26,256,3,153,516,52,666,0,26,29,437,538,0"	1
"3,63,0,-1,0,-1"	"EngineerAdvice08"	8780	5	"711,26,256,3,153,516,52,666,0,26,6,437,538,0"	1
"3,63,0,-1,0,-1"	"RevivalTip01"	15580	1	"666,0,26,10,426,0"	0
"3,63,0,-1,0,-1"	"RevivalTip02"	15581	1	"666,0,26,10,426,0"	0
"3,63,0,-1,0,-1"	"RevivalTip03"	15582	1	"666,0,26,10,426,0"	0
"3,63,0,-1,0,-1"	"RevivalTip04"	15583	1	"666,0,26,10,426,0"	0
"3,63,0,-1,0,-1"	"RevivalTip05"	15584	1	"666,0,26,10,426,0"	0
