description	inventoryType	location	colorSetPriority	slotStat	maxSlotStat	unknown	bitmask	types0	types1	types2	types3	types4	types5	onlyItemsUsableByType0	onlyItemsUsableByType1	onlyItemsUsableByType2	onlyItemsUsableByType3	onlyItemsUsableByType4	onlyItemsUsableByType5	width	height	filter	checkClass	preventloc1	preventtype1a	preventtype1b	preventtype1c	preventtype1d	preventtype1e	preventtype1f	allowskill1	allowskill2	allowskill3	skillallowtype1a	skillallowtype1b	skillallowtype1c	skillallowtype1d	skillallowtype1e	skillallowtype1f	skillallowtype2a	skillallowtype2b	skillallowtype2c	skillallowtype2d	skillallowtype2e	skillallowtype2f	skillallowtype3a	skillallowtype3b	skillallowtype3c	skillallowtype3d	skillallowtype3e	skillallowtype3f	allowskilllevel1	allowskilllevel2	allowskilllevel3	weaponIndex	physicallyInContainer	tradeLocation	returnStuckItemsToStandardLoc	standardLocation	onPersonLocation	allowedHotkeySourceLocation	rewardLocation	serverOnlyLocation	cursorLocation	playerPutRestricted	playerTakeRestricted	invLocFallbackOnLoadError	
all_recipes_results	1	73	-1	250	-1	0	134	3	-74	0	0	0	0	1	0	0	0	0	0	64	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
turret	1	76	-1	-1	-1	0	834	159	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
targeting_device	1	77	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
cooldown_device	1	78	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
rocket_device	1	79	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
bomber_device	1	80	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
nanobots	1	81	-1	298	-1	0	707	117	0	0	0	0	0	1	0	0	0	0	0	1	5	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchant_buyback	1	82	-1	250	-1	0	16516	3	0	0	0	0	0	1	0	0	0	0	0	6	10	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
dye_kit	1	83	5	250	-1	0	536873002	305	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	1	1	0	0	0	0	0	0	-1
item_upgrade	1	84	-1	250	-1	0	8650756	3	-74	0	0	0	0	1	0	0	0	0	0	4	3	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	1	0	0	0	0	0	0	0	0	-1
item_upgrade_resources	1	85	-1	250	-1	0	8650756	3	-74	0	0	0	0	1	0	0	0	0	0	3	3	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	1	0	0	0	0	0	0	0	0	-1
item_upgrade_resources_pool	1	86	-1	250	-1	0	134	3	-74	0	0	0	0	1	0	0	0	0	0	5	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
item_unmod_results	1	87	-1	250	-1	0	8388612	15	0	0	0	0	0	1	0	0	0	0	0	3	3	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	1	0	0	0	0	0	0	"26,1,0"	0	-1
extra_stash	1	92	-1	250	-1	0	3145732	3	-74	0	0	0	0	1	0	0	0	0	0	6	8	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"711,3,154,339,0"	"711,3,154,339,0"	-1
infopet	1	94	-1	-1	-1	0	710	117	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
cube	1	95	-1	250	-1	0	4	3	-74	-484	0	0	0	1	0	0	0	0	0	6	6	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	1	0	0	0	0	0	0	-1
email_outbox	1	96	-1	250	-1	0	58720258	3	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	1	0	0	0	0	0	0	"711,709,3,159,339,0"	0	-1
email_inbox	1	97	-1	250	-1	0	58720258	3	0	0	0	0	0	1	0	0	0	0	0	128	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"711,709,3,160,339,0"	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
ammo	2	25	-1	250	-1	0	536870959	53	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
rockets	2	26	-1	250	-1	0	536870959	54	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
fuel	2	27	-1	250	-1	0	536870959	55	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
battery	2	28	-1	250	-1	0	536870959	56	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
relic	2	29	-1	250	-1	0	536870959	57	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
tech	2	30	-1	250	-1	0	536870959	58	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
altfire	2	31	-1	250	-1	0	536870959	59	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1
rhand	3	7	-1	250	-1	0	536873002	16	37	127	-40	0	0	1	0	0	0	0	0	1	1	1	0	8	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	-1
lhand	3	8	-1	250	-1	0	536873002	16	39	37	126	0	0	1	0	0	0	0	0	1	1	1	0	7	38	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	-1
merchantsmallgrid	4	38	-1	250	-1	0	16420	18	0	0	0	0	0	1	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchantarmorgridtemplar	4	60	-1	250	-1	0	16420	17	0	0	0	0	0	63	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchantarmorgridcabalist	4	61	-1	250	-1	0	16420	17	0	0	0	0	0	65	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchantarmorgridhunter	4	62	-1	250	-1	0	16420	17	0	0	0	0	0	64	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchantweapongridtemplar	4	63	-1	250	-1	0	16420	16	0	0	0	0	0	63	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchantweapongridcabalist	4	64	-1	250	-1	0	16420	16	0	0	0	0	0	65	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
merchantweapongridhunter	4	65	-1	250	-1	0	16420	16	0	0	0	0	0	64	0	0	0	0	0	6	80	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	1	0	0	0	0	0	0	0	0	"26,1,0"	"26,1,0"	-1
pet zombies	5	34	-1	250	-1	0	4194502	10	0	0	0	0	0	1	0	0	0	0	0	1	8	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
pet riftwarriors	6	34	-1	250	-1	0	4194502	79	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
maggots	7	34	-1	298	-1	0	4194503	137	0	0	0	0	0	1	0	0	0	0	0	1	20	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
totems	8	34	-1	298	-1	0	711	158	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
minorpet	9	34	-1	298	-1	0	711	117	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1
