"RECIPES"	"RECIPES"	"String"	"code"	"cubeRecipe"	"alwaysKnown"	"dontRequireExactIngredients"	"allowInRandomSingleUse"	"removeOnLoad"	"weight"	"experienceEarned"	"goldReward"	"resultQualityModifiesIngredientQuantity"	"ingredient1ItemClass"	"ingredient1UnitType"	"ingredient1ItemQuality"	"ingredient1MinQuantity"	"ingredient1MaxQuantity"	"ingredient2ItemClass"	"ingredient2UnitType"	"ingredient2ItemQuality"	"ingredient2MinQuantity"	"ingredient2MaxQuantity"	"ingredient3ItemClass"	"ingredient3UnitType"	"ingredient3ItemQuality"	"ingredient3MinQuantity"	"ingredient3MaxQuantity"	"ingredient4ItemClass"	"ingredient4UnitType"	"ingredient4ItemQuality"	"ingredient4MinQuantity"	"ingredient4MaxQuantity"	"ingredient5ItemClass"	"ingredient5UnitType"	"ingredient5ItemQuality"	"ingredient5MinQuantity"	"ingredient5MaxQuantity"	"ingredient6ItemClass"	"ingredient6UnitType"	"ingredient6ItemQuality"	"ingredient6MinQuantity"	"ingredient6MaxQuantity"	"craftResult1"	"craftResult2"	"craftResult3"	"craftResult4"	"craftResult5"	"craftResult6"	"treasureResult1"	"treasureResult2"	"treasureResult3"	"treasureResult4"	"treasureResult5"	"treasureResult6"	"mustPlaceInInvSlot"	"bitmask"	"spawnLevelMin"	"spawnLevelMax"
"3,63,0,-1,0,-1"	"belt"	-1	19521	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	2	5	114	-1	0	7	16	113	-1	2	2	5	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	295	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"gloves"	-1	19777	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	2	5	113	-1	0	7	16	115	-1	2	2	5	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	296	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"shoulders"	-1	20545	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	2	5	115	-1	0	7	16	114	-1	2	2	5	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	299	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"pants"	-1	20289	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	2	5	114	-1	0	7	16	115	-1	2	2	5	113	-1	0	7	16	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	298	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"helm"	-1	20033	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	2	5	114	-1	2	2	5	115	-1	0	7	16	113	-1	2	2	3	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	297	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"torso"	-1	20801	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	2	5	114	-1	0	24	60	115	-1	2	4	6	113	-1	0	7	16	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	300	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"shield"	-1	21057	0	0	0	1	0	1	0	0	1	112	-1	0	30	80	112	-1	2	3	8	114	-1	2	2	5	115	-1	0	7	16	113	-1	2	2	3	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	301	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"focus_item"	-1	25922	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	3	8	115	-1	0	15	40	114	-1	2	2	5	115	-1	0	2	3	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	303	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"boots"	-1	26178	0	0	0	1	0	1	0	0	1	112	-1	0	24	60	112	-1	2	7	16	113	-1	0	2	5	115	-1	2	2	5	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	304	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_red"	-1	21825	0	0	0	0	0	1	0	0	0	43	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	133	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_green"	-1	22081	0	0	0	0	0	1	0	0	0	44	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	134	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_blue"	-1	22337	0	0	0	0	0	1	0	0	0	45	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	135	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_rrg"	-1	22593	0	0	0	0	0	1	0	0	0	49	-1	-1	2	2	50	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	136	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_rgb"	-1	22849	0	0	0	0	0	1	0	0	0	49	-1	-1	1	1	50	-1	-1	1	1	51	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	137	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_gbb"	-1	23105	0	0	0	0	0	1	0	0	0	50	-1	-1	1	1	51	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	138	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_rbb"	-1	24897	0	0	0	0	0	1	0	0	0	49	-1	-1	1	1	51	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	139	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"quest_portalboost_rgg"	-1	25153	0	0	0	0	0	1	0	0	0	49	-1	-1	1	1	50	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	140	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"zombot_blueprint"	-1	25409	0	0	0	0	0	1	0	0	0	190	-1	-1	4	4	188	-1	-1	24	24	189	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	421	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_gunpowderplot_blueprint"	-1	25665	0	0	0	0	0	1	0	0	0	210	-1	-1	1	1	211	-1	-1	1	1	212	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	427	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_parkin_rc"	-1	25921	0	0	0	0	0	1	0	0	0	203	-1	-1	5	5	214	-1	-1	1	1	206	-1	-1	2	2	196	-1	-1	1	1	209	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	426	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_toffee_rc"	-1	26177	0	0	0	0	0	1	0	0	0	203	-1	-1	5	5	196	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	428	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_toffeeapple_rc"	-1	26433	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	205	-1	-1	3	3	203	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	429	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_bakedpotato_rc"	-1	26689	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	208	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	431	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_groatypudding_rc"	-1	26945	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	200	-1	-1	1	1	202	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	432	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_steakkidneypie_rc"	-1	27201	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	200	-1	-1	2	2	201	-1	-1	1	1	202	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	433	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_bloodpudding_rc"	-1	27457	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	199	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	434	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_applecider_rc"	-1	27713	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	205	-1	-1	5	5	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	435	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_ciderspecial_rc"	-1	27969	0	0	0	0	0	1	0	0	0	196	-1	-1	1	1	205	-1	-1	5	5	197	-1	-1	1	1	203	-1	-1	5	5	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	436	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_toffeepudding_rc"	-1	28225	0	0	0	0	0	1	0	0	0	203	-1	-1	5	5	214	-1	-1	1	1	206	-1	-1	2	2	196	-1	-1	1	1	209	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	430	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_fawkesforcefive_rc"	-1	28481	0	0	0	0	0	1	0	0	0	198	-1	-1	1	1	197	-1	-1	5	5	196	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	438	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"fawkesday_grenade_blueprint"	-1	28737	0	0	0	0	0	1	0	0	0	195	-1	-1	10	10	204	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	437	-1	-1	-1	-1	-1	71	0	-1	-1
"3,63,0,-1,0,-1"	"cube_zombie_xmas"	-1	29249	1	0	0	0	0	0	0	0	0	242	-1	-1	1	1	243	-1	-1	1	1	244	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	460	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_medpack_large"	-1	29505	1	1	0	0	0	0	0	0	0	2	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	461	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_medpack3"	-1	29761	1	1	0	0	0	0	0	0	0	3	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	462	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_medpack4"	-1	30017	1	1	0	0	0	0	0	0	0	4	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	463	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_medpack5"	-1	30273	1	1	0	0	0	0	0	0	0	5	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	464	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_powerpack_large"	-1	30529	1	0	0	0	0	0	0	0	0	10	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	465	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_powerpack3"	-1	30785	1	0	0	0	0	0	0	0	0	11	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	466	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_powerpack4"	-1	31041	1	0	0	0	0	0	0	0	0	12	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	467	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_powerpack5"	-1	31297	1	0	0	0	0	0	0	0	0	13	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	468	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_townportal"	-1	16706	1	0	0	0	0	0	0	0	0	111	-1	-1	1	1	10	-1	-1	1	1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	469	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shield_capacitor_large"	-1	16962	1	0	0	0	0	0	0	0	0	80	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	470	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shield_capacitor3"	-1	17218	1	0	0	0	0	0	0	0	0	81	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	471	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shield_capacitor4"	-1	17474	1	0	0	0	0	0	0	0	0	82	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	472	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shield_capacitor5"	-1	17730	1	0	0	0	0	0	0	0	0	83	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	473	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_antidote_injector_large"	-1	17986	1	0	0	0	0	0	0	0	0	85	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	474	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_antidote_injector3"	-1	18242	1	0	0	0	0	0	0	0	0	86	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	475	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_antidote_injector4"	-1	18498	1	0	0	0	0	0	0	0	0	87	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	476	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_antidote_injector5"	-1	18754	1	0	0	0	0	0	0	0	0	88	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	477	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_stabilizing_injector_large"	-1	19010	1	0	0	0	0	0	0	0	0	90	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	478	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_stabilizing_injector3"	-1	19266	1	0	0	0	0	0	0	0	0	91	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	479	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_stabilizing_injector4"	-1	19522	1	0	0	0	0	0	0	0	0	92	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	480	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_stabilizing_injector5"	-1	19778	1	0	0	0	0	0	0	0	0	93	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	481	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_fire_extinguisher_large"	-1	20034	1	0	0	0	0	0	0	0	0	95	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	482	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_fire_extinguisher3"	-1	20290	1	0	0	0	0	0	0	0	0	96	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	483	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_fire_extinguisher4"	-1	20546	1	0	0	0	0	0	0	0	0	97	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	484	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_fire_extinguisher5"	-1	20802	1	0	0	0	0	0	0	0	0	98	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	485	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shunt_capacitor_large"	-1	21058	1	0	0	0	0	0	0	0	0	100	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	486	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shunt_capacitor3"	-1	21314	1	0	0	0	0	0	0	0	0	101	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	487	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shunt_capacitor4"	-1	21570	1	0	0	0	0	0	0	0	0	102	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	488	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_shunt_capacitor5"	-1	21826	1	0	0	0	0	0	0	0	0	103	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	489	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_gyro_stabilizer_large"	-1	22082	1	0	0	0	0	0	0	0	0	105	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	490	-1	-1	-1	-1	-1	-1	1	-1	-1
"3,63,0,-1,0,-1"	"cube_gyro_stabilizer3"	-1	22338	1	0	0	0	0	0	0	0	0	106	-1	-1	2	2	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	491	-1	-1	-1	-1	-1	-1	1	-1	-1
