EFFECT_FILES	FXOName	fxFile	folder	subFolder	undefined1	rangeForFallBack	distanceForFallBack	undefined2	undefined3	bitmask01	vertexFormat	techniqueGroup	sBranchDepthUS	sBranchDepthPS
"3,63,0,-1,0,-1"	actorindoorspotlight1x_fxo	actorindoorspotlight1x.fxo	1	1	-1	-1	-1	-1	-1	2459	5	0	0	0
"3,63,0,-1,0,-1"	actoroutdoor1x_fxo	actoroutdoor1x.fxo	1	1	-1	-1	-1	-1	-1	16845211	5	0	0	0
"3,63,0,-1,0,-1"	backgroundglow_fxo	backgroundglow.fxo	0	0	-1	-1	-1	-1	-1	33591569	2	0	0	0
"3,63,0,-1,0,-1"	backgroundindoor1x_fxo	backgroundindoor1x.fxo	1	1	-1	-1	-1	-1	-1	36241	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorspotlight1x_fxo	backgroundindoorspotlight1x.fxo	1	1	-1	-1	-1	-1	-1	35217	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoor20_fxo	backgroundindoor20.fxo	1	0	-1	-1	12	-1	-1	44501	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoor20lod_fxo	backgroundindoor20lod.fxo	1	0	-1	-1	-1	-1	-1	36241	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoor30_fxo	backgroundindoor30.fxo	1	0	-1	-1	13	-1	-1	36309	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorgrid20_fxo	backgroundindoorgrid20.fxo	1	0	-1	-1	15	-1	-1	60885	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorgrid20lod_fxo	backgroundindoorgrid20lod.fxo	1	0	-1	-1	-1	-1	-1	52625	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorgrid30_fxo	backgroundindoorgrid30.fxo	1	0	-1	-1	16	-1	-1	52693	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorprop1x_fxo	backgroundindoorprop1x.fxo	1	1	-1	-1	-1	-1	-1	85395	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorprop20_fxo	backgroundindoorprop20.fxo	1	0	-1	-1	18	-1	-1	93655	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorprop20lod_fxo	backgroundindoorprop20lod.fxo	1	0	-1	-1	-1	-1	-1	85395	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorprop30_fxo	backgroundindoorprop30.fxo	1	0	-1	-1	19	-1	-1	85463	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorspotlight30_fxo	backgroundindoorspotlight30.fxo	1	0	-1	-1	-1	-1	-1	1101271	1	0	0	0
"3,63,0,-1,0,-1"	backgroundindoorspotlight20_fxo	backgroundindoorspotlight20.fxo	1	0	-1	-1	-1	-1	-1	1100247	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoor1x_fxo	backgroundoutdoor1x.fxo	1	1	-1	-1	-1	-1	-1	52627	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoor20_fxo	backgroundoutdoor20.fxo	1	0	-1	-1	21	-1	-1	1109463	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoor20lod_fxo	backgroundoutdoor20lod.fxo	1	0	-1	-1	-1	-1	-1	52631	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoor30_fxo	backgroundoutdoor30.fxo	1	0	-1	-1	22	-1	-1	1101271	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoorspotlight30_fxo	backgroundoutdoorspotlight30.fxo	1	0	-1	-1	-1	-1	-1	1101271	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoorspotlight20_fxo	backgroundoutdoorspotlight20.fxo	1	0	-1	-1	-1	-1	-1	1100247	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoorprop1x_fxo	backgroundoutdoorprop1x.fxo	1	1	-1	-1	-1	-1	-1	118163	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoorprop20_fxo	backgroundoutdoorprop20.fxo	1	0	-1	-1	24	-1	-1	1174999	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoorprop20lod_fxo	backgroundoutdoorprop20lod.fxo	1	0	-1	-1	-1	-1	-1	118163	1	0	0	0
"3,63,0,-1,0,-1"	backgroundoutdoorprop30_fxo	backgroundoutdoorprop30.fxo	1	0	-1	-1	25	-1	-1	1166807	1	0	0	0
"3,63,0,-1,0,-1"	backgroundsimple_fxo	backgroundsimple.fxo	0	0	-1	-1	-1	-1	-1	36243	1	0	0	0
"3,63,0,-1,0,-1"	backgroundsimple_spotlight_fxo	backgroundsimple_spotlight.fxo	1	0	-1	-1	-1	-1	-1	36243	1	0	0	0
"3,63,0,-1,0,-1"	backgroundwater_fxo	backgroundwater.fxo	1	0	-1	-1	-1	-1	-1	1092053	1	0	0	0
"3,63,0,-1,0,-1"	backgroundwater_spotlight_fxo	backgroundwater_spotlight.fxo	1	0	-1	-1	-1	-1	-1	1083861	1	0	0	0
"3,63,0,-1,0,-1"	dx10simpleshader_fxo	dx10simpleshader.fxo	1	0	-1	-1	-1	-1	-1	3	2	3	0	0
"3,63,0,-1,0,-1"	fallout_fxo	fallout.fxo	0	0	-1	-1	-1	-1	-1	2145	1	0	0	0
"3,63,0,-1,0,-1"	particle_distortion_fxo	particledistortion.fxo	0	0	-1	-1	-1	-1	-1	262147	-1	1	0	0
"3,63,0,-1,0,-1"	particle_dx10_rain_fxo	particle_dx10_rain.fxo	1	0	-1	-1	-1	-1	-1	3	-1	1	0	0
"3,63,0,-1,0,-1"	particle_dx10_smoke_fxo	particle_dx10_smoke.fxo	1	0	-1	-1	-1	-1	-1	3	-1	1	0	0
"3,63,0,-1,0,-1"	particle_fxo	particle.fxo	0	0	-1	-1	-1	-1	-1	3	-1	1	0	0
"3,63,0,-1,0,-1"	particle_hellrift_fxo	particlehellrift.fxo	0	0	-1	-1	-1	-1	-1	6291459	-1	1	0	0
"3,63,0,-1,0,-1"	particle_mesh_fallout_fxo	particlemeshfallout.fxo	0	0	-1	-1	-1	-1	-1	3	-1	1	0	0
"3,63,0,-1,0,-1"	particlefadein_fxo	particlefadein.fxo	0	0	-1	-1	-1	-1	-1	3	-1	1	0	0
"3,63,0,-1,0,-1"	particlemesh_fxo	particlemesh.fxo	0	0	-1	-1	-1	-1	-1	3	-1	1	0	0
"3,63,0,-1,0,-1"	poison_fxo	poison.fxo	1	0	-1	-1	-1	-1	-1	379	4	0	0	0
"3,63,0,-1,0,-1"	poison11_fxo	poison11.fxo	1	1	-1	-1	-1	-1	-1	379	5	0	0	0
"3,63,0,-1,0,-1"	screeneffect_fxo	screeneffects.fxo	0	0	-1	-1	-1	-1	-1	524291	-1	3	0	0
"3,63,0,-1,0,-1"	simple_fxo	simple.fxo	0	0	-1	-1	-1	-1	-1	4497	3	3	0	0
"3,63,0,-1,0,-1"	skybox_fxo	skybox.fxo	0	0	-1	-1	-1	-1	-1	465	3	3	0	0
"3,63,0,-1,0,-1"	spectral_fxo	spectral.fxo	1	0	-1	-1	-1	-1	-1	379	4	0	0	0
"3,63,0,-1,0,-1"	spectral1x_fxo	spectral1x.fxo	1	1	-1	-1	-1	-1	-1	379	5	0	0	0
"3,63,0,-1,0,-1"	spectraladd_fxo	spectraladd.fxo	1	0	-1	-1	-1	-1	-1	379	4	0	0	0
"3,63,0,-1,0,-1"	spectraladd1x_fxo	spectraladd1x.fxo	1	1	-1	-1	-1	-1	-1	379	5	0	0	0
"3,63,0,-1,0,-1"	movieplayer_fxo	movieplayer.fxo	0	0	-1	-1	-1	-1	-1	1	-1	3	0	0
"3,63,0,-1,0,-1"	movieplayer11_fxo	movieplayer11.fxo	0	1	-1	-1	-1	-1	-1	1	-1	3	0	0
"3,63,0,-1,0,-1"	spectralmultiply_fxo	spectralmultiply.fxo	1	0	-1	-1	-1	-1	-1	379	4	0	0	0
"3,63,0,-1,0,-1"	spectralmultiply1x_fxo	spectralmultiply1x.fxo	1	1	-1	-1	-1	-1	-1	379	5	0	0	0
"3,63,0,-1,0,-1"	spectralsubtract_fxo	spectralsubtract.fxo	1	0	-1	-1	-1	-1	-1	379	4	0	0	0
"3,63,0,-1,0,-1"	spectralsubtract1x_fxo	spectralsubtract1x.fxo	1	1	-1	-1	-1	-1	-1	379	5	0	0	0
