"STATES"	"STATES"	"code"	"file"	"isA0"	"isA1"	"isA2"	"isA3"	"isA4"	"isA5"	"isA6"	"isA7"	"isA8"	"isA9"	"statePreventedBy"	"duration"	"onDeath"	"skillScriptParam"	"element"	"pulseRateInMs"	"pulseRateInMsClient"	"pulseSkill"	"iconOrder"	"uiIcon"	"uiIconTexture"	"unknown32"	"unknown34"	"iconBackColor"	"iconTooltipStringHellgate"	"iconTooltipStringMythos"	"iconTooltipStringAll"	"assocState1"	"assocState2"	"assocState3"	"bitmask01"	"gameFlag"	"bitmask02"
"1,63,0,-1,0,-1"	"sfx_fire"	19504	"sfx_fire"	1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	178	0	-1	"710,26,1000,26,3000,3,33,0"	0	"SpreadFire"	1	"skill_malady_onfire"	"skilltree_atlas"	6	"skill back pointy"	3	692	-1	-1	-1	-1	-1	0	-1	344184
"2,63,0,-1,0,-1"		0		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	0
"3,63,0,-1,0,-1"	"sfx_electrical"	19760	"sfx_electrical"	1	19	530	-1	-1	-1	-1	-1	-1	-1	-1	0	180	0	-1	0	0		2	"skill_malady_onstun"	"skilltree_atlas"	6	"skill back pointy"	3	-1	-1	693	-1	-1	-1	0	-1	376952
"3,63,0,-1,0,-1"	"sfx_ice"	20272	"sfx_ice"	1	318	335	-1	-1	-1	-1	-1	-1	-1	-1	0	176	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	50456
"1,63,0,-1,0,-1"	"sfx_spectral"	20528	"sfx_spectral"	1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	177	0	-1	0	0		3	"skill_malady_onphase"	"skilltree_atlas"	6	"skill back pointy"	3	-1	-1	694	-1	-1	-1	0	-1	344184
"1,63,0,-1,0,-1"	"sfx_toxic"	20784	"sfx_toxic"	1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	179	0	-1	0	0		4	"skill_malady_ontoxic"	"skilltree_atlas"	6	"skill back pointy"	3	-1	-1	695	-1	-1	-1	0	-1	344184
"3,63,0,-1,0,-1"	"sfx_crushing"	21040	"sfx_crushing"	1	4	318	335	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		1	"placeholder_icon_1"	"skilltree_atlas"	6	"skill back pointy"	3	-1	-1	696	-1	-1	-1	0	-1	115992
"3,63,0,-1,0,-1"	"dot_physical"	21296	"DOT physical"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	114746
"3,63,0,-1,0,-1"	"dot_fire"	21552	"DOT Fire"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	114746
"3,63,0,-1,0,-1"	"dot_electrical"	21808	"DOT Electrical"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	114746
"3,63,0,-1,0,-1"	"dot_ice"	22064	"DOT Spectral"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49178
"3,63,0,-1,0,-1"	"dot_spectral"	22320	"DOT Spectral"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	114746
"3,63,0,-1,0,-1"	"dot_toxic"	22576	"DOT Toxic"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	114746
"3,63,0,-1,0,-1"	"dot_poison"	30260	"DOT Toxic"	1	110	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		1	"skill_blood_instant_kill"	"skilltree_atlas"	2		-1	-1	-1	1174	-1	-1	-1	0	-1	114810
"1,63,0,-1,0,-1"	"orbile_normal"	22832	"OrbileNormal"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16440
"1,63,0,-1,0,-1"	"orbile_angry"	23088	"OrbileAngry"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16440
"3,63,0,-1,0,-1"	"get_hit_any_small"	21301	"Get hit any small"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49152
"3,63,0,-1,0,-1"	"get_hit_critical_small"	24880	"Get hit critical"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_physical_small"	25136	"Get hit physical"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_fire_small"	25392	"Get hit fire"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_electric_small"	25648	"Get hit electric"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_ice_small"	25904	"Get hit ice"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49498
"3,63,0,-1,0,-1"	"get_hit_spectral_small"	26160	"Get hit spectral"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_poison_small"	26416	"Get hit poison"	1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_slashing_small"	12338	"Get hit slashing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_piercing_small"	12594	"Get hit piercing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_crushing_small"	12850	"Get hit crushing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_missile_small"	13106	"Get hit missile"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_any_medium"	26935	"Get hit any medium"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49152
"3,63,0,-1,0,-1"	"get_hit_critical_medium"	27191	"Get hit critical"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_physical_medium"	27447	"Get hit physical"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_fire_medium"	27703	"Get hit fire"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_electric_medium"	27959	"Get hit electric"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_ice_medium"	28215	"Get hit ice"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49498
"3,63,0,-1,0,-1"	"get_hit_spectral_medium"	28471	"Get hit spectral"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_poison_medium"	28727	"Get hit poison"	1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_slashing_medium"	28983	"Get hit slashing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_piercing_medium"	29239	"Get hit piercing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_crushing_medium"	29495	"Get hit crushing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_missile_medium"	29751	"Get hit missile"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_any_big"	30007	"Get hit any big"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49216
"3,63,0,-1,0,-1"	"get_hit_critical_big"	30263	"Get hit critical"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_physical_big"	30519	"Get hit physical"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_fire_big"	30775	"Get hit fire"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_electric_big"	31031	"Get hit electric"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_ice_big"	31287	"Get hit ice"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49498
"3,63,0,-1,0,-1"	"get_hit_spectral_big"	12344	"Get hit spectral"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_poison_big"	12600	"Get hit poison"	1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_slashing_big"	12856	"Get hit slashing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_piercing_big"	13112	"Get hit piercing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_crushing_big"	13368	"Get hit crushing"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_missile_big"	13624	"Get hit missile"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49154
"3,63,0,-1,0,-1"	"get_hit_critical"	25912	"Get hit critical"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"get_hit_fumble"	17465	"get hit fumble"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49472
"3,63,0,-1,0,-1"	"thorns_physical"	28729	"thorns physical"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_fire"	28985	"thorns fire"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_electric"	29241	"thorns electric"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_ice"	29497	"thorns ice"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_spectral"	29753	"thorns spectral"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_poison"	30009	"thorns poison"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_slashing"	30265	"thorns slashing"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_piercing"	30521	"thorns piercing"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_crushing"	30777	"thorns crushing"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"3,63,0,-1,0,-1"	"thorns_missile"	31033	"thorns missile"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49240
"1,63,0,-1,0,-1"	"speed_burst"	26672	"Speed_Burst"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		34	"skill_tmp_div_boost_swiftnessboost"	"skilltree_atlas"	2	"skill back big"	60	697	-1	-1	-1	-1	-1	0	-1	16760
"1,63,0,-1,0,-1"	"burning_rage"	26928	"Burning_Rage"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16432
"1,63,0,-1,0,-1"	"grand_aura"	27184		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		3	"skill_tmp_div_aura_grandaura"	"skilltree_atlas"	2	"skill back big"	60	698	-1	-1	-1	-1	-1	0	-1	16504
"1,63,0,-1,0,-1"	"focused_rage"	27440		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16432
"1,63,0,-1,0,-1"	"damage_aura"	27696		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16432
"1,63,0,-1,0,-1"	"challenge_ai"	27952	"ChallengeAI"	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	16440
"1,63,0,-1,0,-1"	"regeneration_aura"	28208	"Aura_Regeneration"	725	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		5	"Regeneration Aura"	"skilltree_atlas"	2	"skill back big"	60	700	-1	-1	-1	-1	-1	0	-1	16432
"1,63,0,-1,0,-1"	"critical_aura"	13113	"Aura_Critical"	725	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		7	"Critical Aura"	"skilltree_atlas"	2	"skill back big"	60	705	-1	-1	-1	-1	-1	0	-1	16432
"3,63,0,-1,0,-1"	"item_normal"	28464	"Item Normal"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"item_common"	28720	"Item Common"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"item_rare"	28976	"Item Rare"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"item_epic"	29232	"Item Epic"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"item_legendary"	29488	"Item Legendary"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"item_mutant"	29744	"Item Mutant"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"item_unique"	18741	"Item Unique"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"shield_hit"	30000	"Get Hit Shield Monster"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"healing"	30256	"Healing"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		2	"skill_purif_heal"	"skilltree_atlas"	2		-1	-1	-1	1175	-1	-1	-1	0	-1	49272
"3,63,0,-1,0,-1"	"healing_minor_with_vis"	30512	"Healing"	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49272
"3,63,0,-1,0,-1"	"healing_major_with_vis"	30768	"HealingMajor"	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49272
"3,63,0,-1,0,-1"	"staminahealing"	12857	"Healing"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49272
"3,63,0,-1,0,-1"	"levelup"	31024	"levelup"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4000	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49176
"3,63,0,-1,0,-1"	"item_gold"	31280	"Item Gold"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49160
"3,63,0,-1,0,-1"	"knockback"	12337	"Knockback"	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49162
"3,63,0,-1,0,-1"	"fidget"	12593	"fidget"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49152
"3,63,0,-1,0,-1"	"hidden"	12849	"Hidden"	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	49688
"3,63,0,-1,0,-1"	"dot"	13105		1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	0	0		0			-1		-1	-1	-1	-1	-1	-1	-1	0	-1	114712
