"UNITTYPES"	"name"	"code"	"isA0"	"isA1"	"isA2"	"isA3"	"isA4"	"isA5"	"isA6"	"isA7"	"isA8"	"isA9"	"isA10"	"isA11"	"isA12"	"isA13"	"isA14"	"isA15"	"String"
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"shirt"	20272	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	468
"3,62,0,-1,0,-1"	"pants"	20528	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	471
"3,62,0,-1,0,-1"	"helm"	20784	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	458
"3,62,0,-1,0,-1"	"torso"	21040	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7014
"3,62,0,-1,0,-1"	"arms"	21296	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	457
"3,62,0,-1,0,-1"	"belt"	21552	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	455
"3,62,0,-1,0,-1"	"boots"	21808	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	469
"3,62,0,-1,0,-1"	"legarmor"	22064	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	471
"3,62,0,-1,0,-1"	"money"	22320	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"tattoo"	22576	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"implant"	22832	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"powerup"	24880	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"trinket"	25136	18	476	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	472
"3,62,0,-1,0,-1"	"onehand"	25392	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"twohand"	25648	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"offhand"	25904	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"shield"	26160	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	474
"3,62,0,-1,0,-1"	"shield_defensive"	21828	40	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"shield_offensive"	21572	40	290	314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"melee"	26416	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"sword"	26672	244	314	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	473
"3,62,0,-1,0,-1"	"ranged"	26928	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"gun"	27184	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"gun1h"	27440	46	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	476
"3,62,0,-1,0,-1"	"gun2h"	27696	46	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	477
"3,62,0,-1,0,-1"	"gun_beam"	21827	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"clip"	27952	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"soul"	28208	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"ammo"	28464	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"gunammo"	28720	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6916
"3,62,0,-1,0,-1"	"rocketammo"	28976	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6912
"3,62,0,-1,0,-1"	"fuel"	29232	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6910
"3,62,0,-1,0,-1"	"battery"	29488	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6914
"3,62,0,-1,0,-1"	"relic"	29744	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6918
"3,62,0,-1,0,-1"	"tech"	30000	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6920
"3,62,0,-1,0,-1"	"altfire"	30256	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"socketable"	22337	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	498
"3,62,0,-1,0,-1"	"corpse"	30512	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"wardrobed_character"	28485	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"templar"	30768	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"hunter"	31024	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"cabalist"	31280	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"templar_monster"	12337	63	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9549
"3,62,0,-1,0,-1"	"hunter_monster"	12593	64	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9550
"3,62,0,-1,0,-1"	"cabalist_monster"	12849	65	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9551
"3,62,0,-1,0,-1"	"templar_player"	21570	63	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9549
"3,62,0,-1,0,-1"	"hunter_player"	21826	64	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9550
"3,62,0,-1,0,-1"	"cabalist_player"	22082	65	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9551
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"skill_tablet"	14385	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"medpack"	14641	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6922
"3,62,0,-1,0,-1"	"destructible"	16689	384	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"openable"	16945	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"shrine"	17201	138	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"imp"	17457	135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"notarget"	20273	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"critter"	20529	92	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"vermin"	20785	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"cabalist_focus"	21041	16	315	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	475
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"blocking"	22321	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"blocking_openable"	22577	77	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"blocking_destructible"	22833	76	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"weapon_monster"	23089	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"bug_zapper"	26417	117	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"pet"	26673	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"hireling"	26929	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"major_pet"	27185	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"minor_pet"	27441	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"major_pet_beast"	27697	116	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"major_pet_undead"	27953	116	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"major_pet_demon"	28209	116	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"major_pet_spectral"	28465	116	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"shrieker_pet"	28721	117	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"powerpack"	28977	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"bow"	29233	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"bow2h"	29489	124	38	126	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"lefthand"	29745	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"righthand"	30001	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"analyzer"	19009	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"consumable"	30513	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"morpho_jr"	30769	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"zombie"	31025	10	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8842
"3,62,0,-1,0,-1"	"weapon_beast"	31281	104	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"weapon_undead"	12338	104	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"weapon_demon"	12594	104	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"weapon_spectral"	12850	104	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"maggot"	13106	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"blocking_object"	13362	2	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"humanoidmonster"	18226	14	439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"champion"	18994	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"townportal"	19250	130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	478
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"flyingimpmelee"	19762	79	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"hellmeat"	20018	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"totem"	20274	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"turret"	20530	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"zombieerik"	20786	132	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"zombiemax"	21042	132	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"minor_pet_beast"	21298	117	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"minor_pet_undead"	21554	117	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"minor_pet_demon"	21810	117	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"minor_pet_spectral"	22066	117	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"turret_minor"	22322	117	159	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"turret_major"	22578	116	159	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"headstone"	22834	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"taskmarker"	23090	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"warp"	25138	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"warp_return_one"	25394	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"2,62,0,-1,0,-1"		0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"visual_portal"	27442	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"sublevel_portal"	27698	170	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"hellrift_portal"	27954	181	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"warp_next_level"	28210	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"warp_prev_level"	28466	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"3,62,0,-1,0,-1"	"warp_level"	28722	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
