"FONTCOLOR"	"color"	"blue"	"green"	"red"	"alpha"	"fontColor"
"3,63,0,-1,0,-1"	"very_light_cyan"	255	255	96	255	-1
"3,63,0,-1,0,-1"	"very_light_purple"	255	96	255	255	-1
"3,63,0,-1,0,-1"	"very_light_gray"	223	223	223	255	-1
"3,63,0,-1,0,-1"	"physical"	150	150	150	255	-1
"3,63,0,-1,0,-1"	"fire"	26	17	196	255	-1
"3,63,0,-1,0,-1"	"electric"	239	174	0	255	-1
"3,63,0,-1,0,-1"	"ice"	239	174	0	255	-1
"3,63,0,-1,0,-1"	"spectral"	151	63	143	255	-1
"3,63,0,-1,0,-1"	"toxic"	75	178	34	255	-1
"3,63,0,-1,0,-1"	"poison"	75	178	34	255	-1
"3,63,0,-1,0,-1"	"fsorange"	30	142	247	255	-1
"3,63,0,-1,0,-1"	"fsdarkorange"	22	118	203	255	-1
"3,63,0,-1,0,-1"	"broken"	36	36	136	255	-1
"3,63,0,-1,0,-1"	"inferior"	171	171	171	255	-1
"3,63,0,-1,0,-1"	"common"	225	225	225	255	-1
"3,63,0,-1,0,-1"	"superior"	190	190	190	255	-1
"3,63,0,-1,0,-1"	"rare"	255	192	0	255	-1
"3,63,0,-1,0,-1"	"legendary"	30	142	247	255	-1
"3,63,0,-1,0,-1"	"mutant"	255	96	160	255	-1
"3,63,0,-1,0,-1"	"epic"	0	127	255	255	-1
"3,63,0,-1,0,-1"	"unique"	0	209	255	255	-1
"3,63,0,-1,0,-1"	"hilight_bkgd"	30	142	247	255	-1
"3,63,0,-1,0,-1"	"unusable_item_bkgd"	0	0	255	255	-1
"3,63,0,-1,0,-1"	"normal_item_bkgd"	192	192	192	255	-1
"3,63,0,-1,0,-1"	"common_item_bkgd"	225	0	0	255	-1
"3,63,0,-1,0,-1"	"rare_item_bkgd"	176	104	0	255	-1
"3,63,0,-1,0,-1"	"legendary_item_bkgd"	0	112	192	255	-1
"3,63,0,-1,0,-1"	"epic_item_bkgd"	0	112	192	255	-1
"3,63,0,-1,0,-1"	"mutant_item_bkgd"	192	56	104	255	-1
"3,63,0,-1,0,-1"	"unique_item_bkgd"	0	176	208	255	-1
"3,63,0,-1,0,-1"	"superior_item_bkgd"	255	255	96	255	-1
"3,63,0,-1,0,-1"	"unusable_item_border"	0	0	192	255	-1
"3,63,0,-1,0,-1"	"skillbadge_blue"	125	65	32	255	-1
"3,63,0,-1,0,-1"	"skillbadge_red"	58	41	111	255	-1
"3,63,0,-1,0,-1"	"skillbadge_green"	41	88	22	255	-1
"3,63,0,-1,0,-1"	"skillbadge_gray"	32	32	32	255	-1
"3,63,0,-1,0,-1"	"skillicon_white"	255	255	255	255	-1
"3,63,0,-1,0,-1"	"skillicon_orange"	30	142	247	255	-1
"3,63,0,-1,0,-1"	"skillicon_green"	77	218	171	255	-1
"3,63,0,-1,0,-1"	"skillicon_yellow"	0	255	255	255	-1
"3,63,0,-1,0,-1"	"skillicon_red"	0	0	255	255	-1
"3,63,0,-1,0,-1"	"skillicon_blue"	255	128	128	255	-1
"3,63,0,-1,0,-1"	"skillicon_cyan"	255	255	128	255	-1
"3,63,0,-1,0,-1"	"skillicon_purple"	255	0	128	255	-1
"3,63,0,-1,0,-1"	"skillicon_pink"	255	0	255	255	-1
"3,63,0,-1,0,-1"	"skillicon_background"	151	100	28	128	-1
"3,63,0,-1,0,-1"	"reloadbullet"	88	222	254	255	-1
"3,63,0,-1,0,-1"	"skillbadge_malady"	0	0	255	255	-1
"3,63,0,-1,0,-1"	"skillicon_malady"	0	255	255	255	-1
"3,63,0,-1,0,-1"	"quest_log_type_header"	0	0	0	0	38
"3,63,0,-1,0,-1"	"task_focus"	0	0	0	0	24
"3,63,0,-1,0,-1"	"task_time_complete"	0	0	0	0	25
"3,63,0,-1,0,-1"	"task_time_active"	0	0	0	0	24
"3,63,0,-1,0,-1"	"quest_log_title"	0	0	0	0	6
"3,63,0,-1,0,-1"	"task_log_title"	0	0	0	0	6
"3,63,0,-1,0,-1"	"task_log_default"	0	0	0	0	2
"3,63,0,-1,0,-1"	"task_log_header"	0	0	0	0	27
"3,63,0,-1,0,-1"	"automap_warp_open"	255	150	128	255	-1
"3,63,0,-1,0,-1"	"automap_warp_closed"	80	80	255	255	-1
"3,63,0,-1,0,-1"	"incoming_video"	128	128	64	255	-1
"3,63,0,-1,0,-1"	"console_error"	121	128	242	255	-1
"3,63,0,-1,0,-1"	"console_system"	121	128	242	255	-1
"3,63,0,-1,0,-1"	"chat_general"	223	223	223	255	-1
"3,63,0,-1,0,-1"	"chat_general_name"	255	255	255	255	-1
"3,63,0,-1,0,-1"	"chat_party"	255	255	0	255	-1
"3,63,0,-1,0,-1"	"chat_party_name"	255	255	96	255	-1
"3,63,0,-1,0,-1"	"chat_whisper"	255	0	255	255	-1
"3,63,0,-1,0,-1"	"chat_whisper_name"	255	96	255	255	-1
"3,63,0,-1,0,-1"	"chat_emote"	92	92	255	255	-1
"3,63,0,-1,0,-1"	"chat_emote_name"	128	128	255	255	-1
"3,63,0,-1,0,-1"	"chat_announcement"	52	168	197	255	-1
"3,63,0,-1,0,-1"	"chat_announcement_name"	52	168	197	255	-1
"3,63,0,-1,0,-1"	"chat_guild"	103	242	83	255	-1
"3,63,0,-1,0,-1"	"chat_guild_name"	103	242	83	255	-1
"3,63,0,-1,0,-1"	"chat_csr"	30	142	247	255	-1
"3,63,0,-1,0,-1"	"log_ai"	255	255	255	192	-1
"3,63,0,-1,0,-1"	"log_combat_player"	0	255	0	255	-1
"3,63,0,-1,0,-1"	"log_combat_monster"	0	0	255	192	-1
"3,63,0,-1,0,-1"	"proc_tooltip"	128	128	0	255	-1
"3,63,0,-1,0,-1"	"gravekeeper_return_level"	0	0	0	0	6
"3,63,0,-1,0,-1"	"quest_log_state_active"	0	0	0	0	2
"3,63,0,-1,0,-1"	"quest_log_state_other"	0	0	0	0	23
"3,63,0,-1,0,-1"	"commonquality"	30	190	0	255	-1
"3,63,0,-1,0,-1"	"tug_common"	42	225	0	255	-1
"3,63,0,-1,0,-1"	"tug_rare"	254	130	0	255	-1
"3,63,0,-1,0,-1"	"tug_epic"	224	0	148	255	-1
"3,63,0,-1,0,-1"	"tug_legendary"	5	117	247	255	-1
"3,63,0,-1,0,-1"	"tug_mutant"	100	75	55	255	-1
"3,63,0,-1,0,-1"	"tug_unique"	68	242	255	255	-1
"3,63,0,-1,0,-1"	"tug_normal"	255	255	255	255	-1
"3,63,0,-1,0,-1"	"tug_common_text"	135	251	108	255	-1
"3,63,0,-1,0,-1"	"tug_rare_text"	255	181	104	255	-1
"3,63,0,-1,0,-1"	"tug_epic_text"	255	125	211	255	-1
"3,63,0,-1,0,-1"	"tug_legendary_text"	5	117	247	255	-1
"3,63,0,-1,0,-1"	"tug_mutant_text"	100	75	55	255	-1
"3,63,0,-1,0,-1"	"tug_unique_text"	68	242	255	255	-1
"3,63,0,-1,0,-1"	"recipe_complete"	0	0	0	0	25
"3,63,0,-1,0,-1"	"recipe_not_complete"	0	0	0	0	24
"3,63,0,-1,0,-1"	"single_use_recipe_complete"	0	0	0	0	2
"3,63,0,-1,0,-1"	"single_use_recipe_incomplete"	0	0	0	0	24
"3,63,0,-1,0,-1"	"invisible"	0	0	0	0	-1
"3,63,0,-1,0,-1"	"story_quest"	193	71	193	255	-1
"3,63,0,-1,0,-1"	"quest_item"	99	99	237	255	-1
"3,63,0,-1,0,-1"	"char_sheet_subcolor"	165	129	76	255	-1
"3,63,0,-1,0,-1"	"uncommon"	64	255	64	255	-1
"3,63,0,-1,0,-1"	"uncommon_item_bkgd"	48	128	48	255	-1
"3,63,0,-1,0,-1"	"light_red2"	64	64	255	255	-1
"3,63,0,-1,0,-1"	"inv_price_text"	163	212	130	255	-1
"3,63,0,-1,0,-1"	"unitnames_level"	209	247	57	255	-1
"3,63,0,-1,0,-1"	"hardcore icon"	57	240	247	255	-1
"3,63,0,-1,0,-1"	"town_portal_label"	25	255	25	255	-1
"3,63,0,-1,0,-1"	"warp_quest_label"	0	200	192	255	-1
"3,63,0,-1,0,-1"	"cannot_upgrade"	100	100	255	255	-1
"3,63,0,-1,0,-1"	"credits_section"	30	142	247	255	-1
"3,63,0,-1,0,-1"	"credits_title"	108	182	255	255	-1
"3,63,0,-1,0,-1"	"credits_credit"	255	255	255	255	-1
"3,63,0,-1,0,-1"	"name_hardcore_dead"	128	128	128	255	-1
"3,63,0,-1,0,-1"	"name_pvp"	0	0	220	255	-1
"3,63,0,-1,0,-1"	"name_party"	255	120	120	255	-1
"3,63,0,-1,0,-1"	"name_guild"	115	200	125	255	-1
"3,63,0,-1,0,-1"	"name_founder"	255	174	68	255	-1
"3,63,0,-1,0,-1"	"name_hardcore"	0	200	255	255	-1
"3,63,0,-1,0,-1"	"name_elite"	0	150	255	255	-1
"3,63,0,-1,0,-1"	"name_normal"	207	205	77	255	-1
"3,63,0,-1,0,-1"	"name_npc"	255	255	255	255	-1
"3,63,0,-1,0,-1"	"name_pc"	128	128	0	255	14
"3,63,0,-1,0,-1"	"fawkes_red"	86	86	255	255	-1
"3,63,0,-1,0,-1"	"fawkes_blue"	255	184	86	255	-1
"3,63,0,-1,0,-1"	"fawkes_gold"	63	191	255	255	-1
"3,63,0,-1,0,-1"	"core"	216	255	0	255	-1
"3,63,0,-1,0,-1"	"mythic"	255	96	160	255	-1
"3,63,0,-1,0,-1"	"cursed"	100	150	180	255	-1
"3,63,0,-1,0,-1"	"core_item_bkgd"	200	200	0	255	-1
"3,63,0,-1,0,-1"	"mythic_item_bkgd"	192	56	104	255	-1
"3,63,0,-1,0,-1"	"cursed_item_bkgd"	70	120	150	255	-1
